Distance[um],dz[um],Mag_E[V_per_meter]
0,1.4,863843
0.020202,1.4,902769
0.040404,1.4,954431
0.0606061,1.4,1.0223e+06
0.0808081,1.4,1.05658e+06
0.10101,1.4,1.03447e+06
0.121212,1.4,1.01183e+06
0.141414,1.4,990349
0.161616,1.4,971486
0.181818,1.4,956493
0.20202,1.4,946407
0.222222,1.4,942049
0.242424,1.4,944025
0.262626,1.4,952724
0.282828,1.4,968322
0.30303,1.4,990778
0.323232,1.4,1.01984e+06
0.343434,1.4,1.05503e+06
0.363636,1.4,1.10694e+06
0.383838,1.4,1.16633e+06
0.40404,1.4,1.23411e+06
0.424242,1.4,1.26947e+06
0.444444,1.4,1.28159e+06
0.464646,1.4,1.29135e+06
0.484848,1.4,1.29872e+06
0.505051,1.4,1.30369e+06
0.525253,1.4,1.30629e+06
0.545455,1.4,1.30656e+06
0.565657,1.4,1.29011e+06
0.585859,1.4,1.25381e+06
0.606061,1.4,1.2006e+06
0.626263,1.4,1.13178e+06
0.646465,1.4,1.04915e+06
0.666667,1.4,954934
0.686869,1.4,851822
0.707071,1.4,742956
0.727273,1.4,631931
0.747475,1.4,510308
0.767677,1.4,419907
0.787879,1.4,370833
0.808081,1.4,362433
0.828283,1.4,374293
0.848485,1.4,354072
0.868687,1.4,351959
0.888889,1.4,366274
0.909091,1.4,394979
0.929293,1.4,435679
0.949495,1.4,485623
0.969697,1.4,541699
0.989899,1.4,600439
1.0101,1.4,658017
1.0303,1.4,710251
1.05051,1.4,693404
1.07071,1.4,634211
1.09091,1.4,585068
1.11111,1.4,543829
1.13131,1.4,508153
1.15152,1.4,475503
1.17172,1.4,443147
1.19192,1.4,408157
1.21212,1.4,367412
1.23232,1.4,372102
1.25253,1.4,394051
1.27273,1.4,417215
1.29293,1.4,430681
1.31313,1.4,454770
1.33333,1.4,487794
1.35354,1.4,528147
1.37374,1.4,574310
1.39394,1.4,624847
1.41414,1.4,678410
1.43434,1.4,733734
1.45455,1.4,789638
1.47475,1.4,845029
1.49495,1.4,898897
1.51515,1.4,950317
1.53535,1.4,998450
1.55556,1.4,1.04254e+06
1.57576,1.4,1.06596e+06
1.59596,1.4,1.07504e+06
1.61616,1.4,1.0908e+06
1.63636,1.4,1.11263e+06
1.65657,1.4,1.14007e+06
1.67677,1.4,1.17568e+06
1.69697,1.4,1.20922e+06
1.71717,1.4,1.23701e+06
1.73737,1.4,1.25884e+06
1.75758,1.4,1.2746e+06
1.77778,1.4,1.2843e+06
1.79798,1.4,1.28809e+06
1.81818,1.4,1.28621e+06
1.83838,1.4,1.27903e+06
1.85859,1.4,1.26704e+06
1.87879,1.4,1.25083e+06
1.89899,1.4,1.23113e+06
1.91919,1.4,1.19601e+06
1.93939,1.4,1.12909e+06
1.9596,1.4,1.07243e+06
1.9798,1.4,1.03054e+06
2,1.4,1.00862e+06
0,1.42,882786
0.020202,1.42,924036
0.040404,1.42,981977
0.0606061,1.42,1.04086e+06
0.0808081,1.42,1.01503e+06
0.10101,1.42,987476
0.121212,1.42,960146
0.141414,1.42,934757
0.161616,1.42,912812
0.181818,1.42,895602
0.20202,1.42,884199
0.222222,1.42,879464
0.242424,1.42,882039
0.262626,1.42,892354
0.282828,1.42,910621
0.30303,1.42,936838
0.323232,1.42,970789
0.343434,1.42,1.01204e+06
0.363636,1.42,1.06351e+06
0.383838,1.42,1.12839e+06
0.40404,1.42,1.20201e+06
0.424242,1.42,1.22414e+06
0.444444,1.42,1.23751e+06
0.464646,1.42,1.2486e+06
0.484848,1.42,1.2574e+06
0.505051,1.42,1.26394e+06
0.525253,1.42,1.25804e+06
0.545455,1.42,1.23519e+06
0.565657,1.42,1.19676e+06
0.585859,1.42,1.14363e+06
0.606061,1.42,1.07712e+06
0.626263,1.42,999008
0.646465,1.42,911526
0.666667,1.42,817360
0.686869,1.42,719652
0.707071,1.42,621997
0.727273,1.42,528444
0.747475,1.42,428101
0.767677,1.42,360019
0.787879,1.42,324550
0.808081,1.42,320932
0.828283,1.42,348509
0.848485,1.42,365624
0.868687,1.42,379314
0.888889,1.42,409443
0.909091,1.42,453428
0.929293,1.42,508330
0.949495,1.42,570853
0.969697,1.42,637342
0.989899,1.42,703784
1.0101,1.42,765811
1.0303,1.42,818695
1.05051,1.42,765764
1.07071,1.42,713438
1.09091,1.42,664850
1.11111,1.42,619244
1.13131,1.42,575665
1.15152,1.42,532965
1.17172,1.42,489799
1.19192,1.42,444629
1.21212,1.42,395720
1.23232,1.42,362966
1.25253,1.42,397049
1.27273,1.42,386067
1.29293,1.42,379600
1.31313,1.42,387487
1.33333,1.42,407706
1.35354,1.42,438322
1.37374,1.42,477485
1.39394,1.42,523429
1.41414,1.42,574472
1.43434,1.42,629021
1.45455,1.42,685564
1.47475,1.42,742676
1.49495,1.42,799017
1.51515,1.42,853331
1.53535,1.42,904448
1.55556,1.42,951283
1.57576,1.42,981233
1.59596,1.42,992898
1.61616,1.42,1.01198e+06
1.63636,1.42,1.03787e+06
1.65657,1.42,1.07665e+06
1.67677,1.42,1.1184e+06
1.69697,1.42,1.15518e+06
1.71717,1.42,1.18657e+06
1.73737,1.42,1.21226e+06
1.75758,1.42,1.23204e+06
1.77778,1.42,1.24584e+06
1.79798,1.42,1.2537e+06
1.81818,1.42,1.25576e+06
1.83838,1.42,1.25231e+06
1.85859,1.42,1.24373e+06
1.87879,1.42,1.23053e+06
1.89899,1.42,1.21334e+06
1.91919,1.42,1.1929e+06
1.93939,1.42,1.14785e+06
1.9596,1.42,1.07783e+06
1.9798,1.42,1.02198e+06
2,1.42,985515
0,1.44,902222
0.020202,1.44,948435
0.040404,1.44,1.01578e+06
0.0606061,1.44,999466
0.0808081,1.44,967275
0.10101,1.44,934170
0.121212,1.44,902122
0.141414,1.44,872891
0.161616,1.44,848017
0.181818,1.44,828830
0.20202,1.44,816440
0.222222,1.44,811745
0.242424,1.44,815427
0.262626,1.44,827952
0.282828,1.44,849572
0.30303,1.44,880322
0.323232,1.44,920023
0.343434,1.44,968282
0.363636,1.44,1.02449e+06
0.383838,1.44,1.09394e+06
0.40404,1.44,1.16454e+06
0.424242,1.44,1.18142e+06
0.444444,1.44,1.19613e+06
0.464646,1.44,1.20869e+06
0.484848,1.44,1.21332e+06
0.505051,1.44,1.20374e+06
0.525253,1.44,1.18004e+06
0.545455,1.44,1.14264e+06
0.565657,1.44,1.0924e+06
0.585859,1.44,1.03065e+06
0.606061,1.44,959169
0.626263,1.44,880187
0.646465,1.44,796388
0.666667,1.44,710912
0.686869,1.44,627355
0.707071,1.44,549763
0.727273,1.44,477134
0.747475,1.44,404836
0.767677,1.44,358640
0.787879,1.44,337573
0.808081,1.44,340770
0.828283,1.44,367463
0.848485,1.44,416601
0.868687,1.44,445758
0.888889,1.44,490935
0.909091,1.44,549006
0.929293,1.44,616487
0.949495,1.44,689537
0.969697,1.44,763959
0.989899,1.44,835195
1.0101,1.44,898332
1.0303,1.44,913971
1.05051,1.44,867682
1.07071,1.44,820119
1.09091,1.44,772106
1.11111,1.44,724273
1.13131,1.44,677056
1.15152,1.44,630693
1.17172,1.44,585228
1.19192,1.44,540510
1.21212,1.44,496192
1.23232,1.44,451732
1.25253,1.44,413065
1.27273,1.44,363875
1.29293,1.44,335380
1.31313,1.44,325144
1.33333,1.44,330815
1.35354,1.44,350127
1.37374,1.44,380898
1.39394,1.44,421032
1.41414,1.44,468517
1.43434,1.44,521427
1.45455,1.44,577921
1.47475,1.44,636242
1.49495,1.44,694720
1.51515,1.44,751768
1.53535,1.44,805885
1.55556,1.44,855655
1.57576,1.44,892022
1.59596,1.44,905361
1.61616,1.44,926949
1.63636,1.44,964893
1.65657,1.44,1.01227e+06
1.67677,1.44,1.05586e+06
1.69697,1.44,1.09503e+06
1.71717,1.44,1.12925e+06
1.73737,1.44,1.15811e+06
1.75758,1.44,1.18132e+06
1.77778,1.44,1.1987e+06
1.79798,1.44,1.2102e+06
1.81818,1.44,1.21588e+06
1.83838,1.44,1.21591e+06
1.85859,1.44,1.2106e+06
1.87879,1.44,1.20035e+06
1.89899,1.44,1.18569e+06
1.91919,1.44,1.16728e+06
1.93939,1.44,1.14587e+06
1.9596,1.44,1.08857e+06
1.9798,1.44,1.01518e+06
2,1.44,960395
0,1.46,924943
0.020202,1.46,979164
0.040404,1.46,989447
0.0606061,1.46,953009
0.0808081,1.46,914317
0.10101,1.46,875598
0.121212,1.46,838864
0.141414,1.46,805909
0.161616,1.46,778314
0.181818,1.46,757446
0.20202,1.46,744454
0.222222,1.46,740273
0.242424,1.46,745623
0.262626,1.46,761009
0.282828,1.46,786719
0.30303,1.46,822829
0.323232,1.46,869196
0.343434,1.46,925466
0.363636,1.46,991066
0.383838,1.46,1.06588e+06
0.40404,1.46,1.12551e+06
0.424242,1.46,1.14371e+06
0.444444,1.46,1.15866e+06
0.464646,1.46,1.16197e+06
0.484848,1.46,1.15272e+06
0.505051,1.46,1.13089e+06
0.525253,1.46,1.09688e+06
0.545455,1.46,1.05155e+06
0.565657,1.46,996246
0.585859,1.46,932727
0.606061,1.46,863229
0.626263,1.46,790435
0.646465,1.46,717485
0.666667,1.46,647971
0.686869,1.46,585941
0.707071,1.46,535896
0.727273,1.46,487861
0.747475,1.46,442585
0.767677,1.46,417269
0.787879,1.46,410835
0.808081,1.46,422308
0.828283,1.46,450815
0.848485,1.46,495584
0.868687,1.46,549657
0.888889,1.46,608539
0.909091,1.46,678924
0.929293,1.46,756783
0.949495,1.46,837732
0.969697,1.46,917028
0.989899,1.46,989572
1.0101,1.46,1.0499e+06
1.0303,1.46,1.03353e+06
1.05051,1.46,993898
1.07071,1.46,949534
1.09091,1.46,902655
1.11111,1.46,855280
1.13131,1.46,809230
1.15152,1.46,766133
1.17172,1.46,727420
1.19192,1.46,694329
1.21212,1.46,664373
1.23232,1.46,606853
1.25253,1.46,526559
1.27273,1.46,444427
1.29293,1.46,375925
1.31313,1.46,322477
1.33333,1.46,285147
1.35354,1.46,265672
1.37374,1.46,286604
1.39394,1.46,319657
1.41414,1.46,362489
1.43434,1.46,412841
1.45455,1.46,468542
1.47475,1.46,527506
1.49495,1.46,587729
1.51515,1.46,647296
1.53535,1.46,704373
1.55556,1.46,757215
1.57576,1.46,800240
1.59596,1.46,814219
1.61616,1.46,846813
1.63636,1.46,896509
1.65657,1.46,944002
1.67677,1.46,988437
1.69697,1.46,1.02907e+06
1.71717,1.46,1.06529e+06
1.73737,1.46,1.09658e+06
1.75758,1.46,1.12257e+06
1.77778,1.46,1.14297e+06
1.79798,1.46,1.15764e+06
1.81818,1.46,1.16654e+06
1.83838,1.46,1.16976e+06
1.85859,1.46,1.1675e+06
1.87879,1.46,1.16008e+06
1.89899,1.46,1.14793e+06
