Distance[um],dz[um],Mag_Ey
0,1.4,0
0.020202,1.4,95023.9
0.040404,1.4,185662
0.0606061,1.4,271916
0.0808081,1.4,588737
0.10101,1.4,673082
0.121212,1.4,751795
0.141414,1.4,824717
0.161616,1.4,891702
0.181818,1.4,952619
0.20202,1.4,1.00735e+06
0.222222,1.4,1.0558e+06
0.242424,1.4,1.09787e+06
0.262626,1.4,1.13348e+06
0.282828,1.4,1.16259e+06
0.30303,1.4,1.18514e+06
0.323232,1.4,1.20111e+06
0.343434,1.4,1.21046e+06
0.363636,1.4,1.12452e+06
0.383838,1.4,1.03126e+06
0.40404,1.4,929634
0.424242,1.4,922406
0.444444,1.4,841039
0.464646,1.4,733437
0.484848,1.4,616071
0.505051,1.4,503165
0.525253,1.4,406702
0.545455,1.4,336423
0.565657,1.4,287977
0.585859,1.4,327096
0.606061,1.4,395741
0.626263,1.4,482830
0.646465,1.4,578327
0.666667,1.4,673239
0.686869,1.4,759615
0.707071,1.4,830552
0.727273,1.4,880190
0.747475,1.4,774018
0.767677,1.4,811435
0.787879,1.4,839055
0.808081,1.4,855142
0.828283,1.4,756095
0.848485,1.4,707170
0.868687,1.4,663379
0.888889,1.4,625243
0.909091,1.4,593581
0.929293,1.4,569507
0.949495,1.4,554431
0.969697,1.4,550063
0.989899,1.4,558407
1.0101,1.4,581764
1.0303,1.4,622734
1.05051,1.4,536030
1.07071,1.4,504729
1.09091,1.4,492953
1.11111,1.4,498789
1.13131,1.4,519108
1.15152,1.4,549573
1.17172,1.4,584632
1.19192,1.4,617521
1.21212,1.4,640262
1.23232,1.4,843496
1.25253,1.4,850922
1.27273,1.4,962418
1.29293,1.4,849163
1.31313,1.4,750565
1.33333,1.4,660992
1.35354,1.4,576605
1.37374,1.4,495356
1.39394,1.4,416987
1.41414,1.4,343031
1.43434,1.4,276813
1.45455,1.4,223448
1.47475,1.4,189842
1.49495,1.4,184694
1.51515,1.4,218491
1.53535,1.4,303512
1.55556,1.4,453829
1.57576,1.4,580801
1.59596,1.4,694074
1.61616,1.4,799411
1.63636,1.4,895847
1.65657,1.4,982556
1.67677,1.4,1.26517e+06
1.69697,1.4,1.27664e+06
1.71717,1.4,1.27756e+06
1.73737,1.4,1.26782e+06
1.75758,1.4,1.24734e+06
1.77778,1.4,1.21606e+06
1.79798,1.4,1.17395e+06
1.81818,1.4,1.12101e+06
1.83838,1.4,1.05729e+06
1.85859,1.4,982821
1.87879,1.4,897705
1.89899,1.4,802053
1.91919,1.4,560038
1.93939,1.4,429659
1.9596,1.4,292865
1.9798,1.4,149648
2,1.4,0
0,1.42,0
0.020202,1.42,92635
0.040404,1.42,180933
0.0606061,1.42,485263
0.0808081,1.42,574591
0.10101,1.42,658211
0.121212,1.42,735966
0.141414,1.42,807712
0.161616,1.42,873319
0.181818,1.42,932672
0.20202,1.42,985670
0.222222,1.42,1.03223e+06
0.242424,1.42,1.07227e+06
0.262626,1.42,1.10573e+06
0.282828,1.42,1.13258e+06
0.30303,1.42,1.15278e+06
0.323232,1.42,1.16632e+06
0.343434,1.42,1.17319e+06
0.363636,1.42,1.13337e+06
0.383838,1.42,1.03838e+06
0.40404,1.42,935227
0.424242,1.42,948555
0.444444,1.42,859946
0.464646,1.42,746177
0.484848,1.42,623944
0.505051,1.42,507700
0.525253,1.42,315088
0.545455,1.42,304558
0.565657,1.42,335834
0.585859,1.42,397524
0.606061,1.42,479277
0.626263,1.42,571787
0.646465,1.42,666793
0.666667,1.42,757078
0.686869,1.42,836468
0.707071,1.42,899835
0.727273,1.42,943095
0.747475,1.42,840535
0.767677,1.42,871326
