Distance[um],dz[um],Mag_Ez
0,1.4,532138
0.020202,1.4,398492
0.040404,1.4,365214
0.0606061,1.4,298089
0.0808081,1.4,453435
0.10101,1.4,558789
0.121212,1.4,662613
0.141414,1.4,764410
0.161616,1.4,863733
0.181818,1.4,960196
0.20202,1.4,1.05346e+06
0.222222,1.4,1.14326e+06
0.242424,1.4,1.22935e+06
0.262626,1.4,1.31159e+06
0.282828,1.4,1.38984e+06
0.30303,1.4,1.46406e+06
0.323232,1.4,1.53425e+06
0.343434,1.4,1.60045e+06
0.363636,1.4,1.62231e+06
0.383838,1.4,1.66455e+06
0.40404,1.4,1.70152e+06
0.424242,1.4,1.4791e+06
0.444444,1.4,1.44794e+06
0.464646,1.4,1.41682e+06
0.484848,1.4,1.38555e+06
0.505051,1.4,1.35395e+06
0.525253,1.4,1.32182e+06
0.545455,1.4,1.28898e+06
0.565657,1.4,1.23034e+06
0.585859,1.4,1.18186e+06
0.606061,1.4,1.13215e+06
0.626263,1.4,1.08076e+06
0.646465,1.4,1.02726e+06
0.666667,1.4,971308
0.686869,1.4,912573
0.707071,1.4,850783
0.727273,1.4,785711
0.747475,1.4,675384
0.767677,1.4,594497
0.787879,1.4,532744
0.808081,1.4,489651
0.828283,1.4,357958
0.848485,1.4,333457
0.868687,1.4,309772
0.888889,1.4,294938
0.909091,1.4,294432
0.929293,1.4,311176
0.949495,1.4,345538
0.969697,1.4,395328
0.989899,1.4,455803
1.0101,1.4,519663
1.0303,1.4,577054
1.05051,1.4,307581
1.07071,1.4,324353
1.09091,1.4,347069
1.11111,1.4,377343
1.13131,1.4,417102
1.15152,1.4,468587
1.17172,1.4,534349
1.19192,1.4,617255
1.21212,1.4,720484
1.23232,1.4,762445
1.25253,1.4,779705
1.27273,1.4,745587
1.29293,1.4,789115
1.31313,1.4,832485
1.33333,1.4,875868
1.35354,1.4,919450
1.37374,1.4,963429
1.39394,1.4,1.00802e+06
1.41414,1.4,1.05344e+06
1.43434,1.4,1.09993e+06
1.45455,1.4,1.14775e+06
1.47475,1.4,1.19716e+06
1.49495,1.4,1.24844e+06
1.51515,1.4,1.30188e+06
1.53535,1.4,1.35779e+06
1.55556,1.4,1.41649e+06
1.57576,1.4,1.43738e+06
1.59596,1.4,1.42252e+06
1.61616,1.4,1.40556e+06
1.63636,1.4,1.38669e+06
1.65657,1.4,1.36618e+06
1.67677,1.4,1.33475e+06
1.69697,1.4,1.29202e+06
1.71717,1.4,1.24647e+06
1.73737,1.4,1.19861e+06
1.75758,1.4,1.14915e+06
1.77778,1.4,1.099e+06
1.79798,1.4,1.04927e+06
1.81818,1.4,1.00126e+06
1.83838,1.4,956476
1.85859,1.4,916627
1.87879,1.4,883613
1.89899,1.4,859534
1.91919,1.4,269903
1.93939,1.4,267572
1.9596,1.4,289486
1.9798,1.4,337434
2,1.4,413322
0,1.42,446392
0.020202,1.42,376434
0.040404,1.42,365304
0.0606061,1.42,391968
0.0808081,1.42,511544
0.10101,1.42,628480
0.121212,1.42,742289
0.141414,1.42,852541
0.161616,1.42,958861
0.181818,1.42,1.06093e+06
0.20202,1.42,1.15848e+06
0.222222,1.42,1.2513e+06
0.242424,1.42,1.33924e+06
0.262626,1.42,1.42221e+06
0.282828,1.42,1.50014e+06
0.30303,1.42,1.57307e+06
0.323232,1.42,1.64104e+06
0.343434,1.42,1.70419e+06
0.363636,1.42,1.72654e+06
0.383838,1.42,1.76708e+06
0.40404,1.42,1.80172e+06
0.424242,1.42,1.4812e+06
0.444444,1.42,1.45354e+06
0.464646,1.42,1.42576e+06
0.484848,1.42,1.39769e+06
0.505051,1.42,1.36913e+06
0.525253,1.42,1.34415e+06
0.545455,1.42,1.30045e+06
0.565657,1.42,1.2555e+06
0.585859,1.42,1.2088e+06
0.606061,1.42,1.1599e+06
0.626263,1.42,1.1084e+06
0.646465,1.42,1.05395e+06
0.666667,1.42,996230
0.686869,1.42,934978
0.707071,1.42,869972
0.727273,1.42,801034
0.747475,1.42,572133
0.767677,1.42,507294
0.787879,1.42,456178
0.808081,1.42,418353
0.828283,1.42,393444
0.848485,1.42,277993
0.868687,1.42,274807
0.888889,1.42,278408
0.909091,1.42,293921
0.929293,1.42,323917
0.949495,1.42,368410
0.969697,1.42,424857
0.989899,1.42,488164
1.0101,1.42,550677
1.0303,1.42,602189
1.05051,1.42,341695
1.07071,1.42,355732
1.09091,1.42,374669
1.11111,1.42,399817
1.13131,1.42,432800
1.15152,1.42,475556
1.17172,1.42,530336
1.19192,1.42,599703
1.21212,1.42,686533
1.23232,1.42,830572
1.25253,1.42,841024
1.27273,1.42,790331
1.29293,1.42,830233
1.31313,1.42,869914
1.33333,1.42,909547
1.35354,1.42,949316
1.37374,1.42,989420
1.39394,1.42,1.03007e+06
1.41414,1.42,1.0715e+06
1.43434,1.42,1.11393e+06
1.45455,1.42,1.15764e+06
1.47475,1.42,1.20287e+06
1.49495,1.42,1.24991e+06
1.51515,1.42,1.29906e+06
1.53535,1.42,1.35062e+06
1.55556,1.42,1.40491e+06
1.57576,1.42,1.46871e+06
1.59596,1.42,1.45435e+06
1.61616,1.42,1.4375e+06
1.63636,1.42,1.41833e+06
1.65657,1.42,1.39822e+06
1.67677,1.42,1.35964e+06
1.69697,1.42,1.31742e+06
1.71717,1.42,1.27176e+06
1.73737,1.42,1.22309e+06
1.75758,1.42,1.17199e+06
1.77778,1.42,1.11927e+06
1.79798,1.42,1.06593e+06
1.81818,1.42,1.01316e+06
1.83838,1.42,962382
1.85859,1.42,915172
1.87879,1.42,873331
1.89899,1.42,838853
1.91919,1.42,813930
1.93939,1.42,184723
1.9596,1.42,210525
1.9798,1.42,267371
2,1.42,357558
0,1.44,391706
0.020202,1.44,409515
0.040404,1.44,423763
0.0606061,1.44,488269
0.0808081,1.44,614903
0.10101,1.44,737767
0.121212,1.44,856444
0.141414,1.44,970573
0.161616,1.44,1.07985e+06
0.181818,1.44,1.18401e+06
0.20202,1.44,1.28288e+06
0.222222,1.44,1.3763e+06
0.242424,1.44,1.46419e+06
0.262626,1.44,1.54653e+06
0.282828,1.44,1.62333e+06
0.30303,1.44,1.69467e+06
0.323232,1.44,1.7607e+06
0.343434,1.44,1.82159e+06
0.363636,1.44,1.8776e+06
0.383838,1.44,1.87986e+06
0.40404,1.44,1.51349e+06
0.424242,1.44,1.48969e+06
0.444444,1.44,1.46583e+06
0.464646,1.44,1.4417e+06
0.484848,1.44,1.45036e+06
0.505051,1.44,1.41216e+06
0.525253,1.44,1.37273e+06
0.545455,1.44,1.33156e+06
0.565657,1.44,1.28816e+06
0.585859,1.44,1.24208e+06
0.606061,1.44,1.19294e+06
0.626263,1.44,1.14038e+06
0.646465,1.44,1.08411e+06
0.666667,1.44,1.02385e+06
0.686869,1.44,959407
0.707071,1.44,890600
0.727273,1.44,531148
0.747475,1.44,472940
0.767677,1.44,424181
0.787879,1.44,384433
0.808081,1.44,353310
0.828283,1.44,330480
0.848485,1.44,220730
0.868687,1.44,238024
0.888889,1.44,259905
0.909091,1.44,291145
0.929293,1.44,333961
0.949495,1.44,388015
0.969697,1.44,450412
0.989899,1.44,515704
1.0101,1.44,575885
1.0303,1.44,369845
1.05051,1.44,378982
1.07071,1.44,391441
1.09091,1.44,407916
1.11111,1.44,429418
1.13131,1.44,457269
1.15152,1.44,493104
1.17172,1.44,538871
1.19192,1.44,596832
1.21212,1.44,669561
1.23232,1.44,759944
1.25253,1.44,812168
1.27273,1.44,848168
1.29293,1.44,883738
1.31313,1.44,919036
1.33333,1.44,954232
1.35354,1.44,989513
1.37374,1.44,1.02508e+06
1.39394,1.44,1.06114e+06
1.41414,1.44,1.09792e+06
1.43434,1.44,1.13567e+06
1.45455,1.44,1.17463e+06
1.47475,1.44,1.21507e+06
1.49495,1.44,1.25727e+06
1.51515,1.44,1.30153e+06
1.53535,1.44,1.34815e+06
1.55556,1.44,1.39745e+06
1.57576,1.44,1.50791e+06
1.59596,1.44,1.4941e+06
1.61616,1.44,1.47746e+06
1.63636,1.44,1.46368e+06
1.65657,1.44,1.43009e+06
1.67677,1.44,1.39254e+06
1.69697,1.44,1.35094e+06
1.71717,1.44,1.30539e+06
1.73737,1.44,1.25617e+06
1.75758,1.44,1.20378e+06
1.77778,1.44,1.14893e+06
1.79798,1.44,1.0925e+06
1.81818,1.44,1.03559e+06
1.83838,1.44,979485
1.85859,1.44,925675
1.87879,1.44,875849
1.89899,1.44,831893
1.91919,1.44,795893
1.93939,1.44,770131
1.9596,1.44,153191
1.9798,1.44,221621
