Distance[um],dz[um],Mag_Ex
0,1.4,1.9329e+06
0.020202,1.4,1.90075e+06
0.040404,1.4,1.86688e+06
0.0606061,1.4,1.84048e+06
0.0808081,1.4,2.43601e+06
0.10101,1.4,2.38494e+06
0.121212,1.4,2.33443e+06
0.141414,1.4,2.28448e+06
0.161616,1.4,2.23513e+06
0.181818,1.4,2.18641e+06
0.20202,1.4,2.13834e+06
0.222222,1.4,2.09098e+06
0.242424,1.4,2.04438e+06
0.262626,1.4,1.99858e+06
0.282828,1.4,1.95366e+06
0.30303,1.4,1.90969e+06
0.323232,1.4,1.86674e+06
0.343434,1.4,1.82489e+06
0.363636,1.4,2.11434e+06
0.383838,1.4,2.1342e+06
0.40404,1.4,2.1454e+06
0.424242,1.4,1.90747e+06
0.444444,1.4,1.91044e+06
0.464646,1.4,1.91565e+06
0.484848,1.4,1.92311e+06
0.505051,1.4,1.93287e+06
0.525253,1.4,1.94495e+06
0.545455,1.4,1.9594e+06
0.565657,1.4,1.91676e+06
0.585859,1.4,1.88177e+06
0.606061,1.4,1.85239e+06
0.626263,1.4,1.82921e+06
0.646465,1.4,1.81264e+06
0.666667,1.4,1.80298e+06
0.686869,1.4,1.80033e+06
0.707071,1.4,1.80466e+06
0.727273,1.4,1.81579e+06
0.747475,1.4,2.20151e+06
0.767677,1.4,2.23517e+06
0.787879,1.4,2.27569e+06
0.808081,1.4,2.3224e+06
0.828283,1.4,2.45022e+06
0.848485,1.4,2.44991e+06
0.868687,1.4,2.44977e+06
0.888889,1.4,2.4498e+06
0.909091,1.4,2.45e+06
0.929293,1.4,2.45038e+06
0.949495,1.4,2.45093e+06
0.969697,1.4,2.45165e+06
0.989899,1.4,2.45255e+06
1.0101,1.4,2.45361e+06
1.0303,1.4,2.45485e+06
1.05051,1.4,2.34579e+06
1.07071,1.4,2.32659e+06
1.09091,1.4,2.30835e+06
1.11111,1.4,2.29118e+06
1.13131,1.4,2.27518e+06
1.15152,1.4,2.26044e+06
1.17172,1.4,2.24705e+06
1.19192,1.4,2.23511e+06
1.21212,1.4,2.2247e+06
1.23232,1.4,2.3062e+06
1.25253,1.4,2.26461e+06
1.27273,1.4,1.73791e+06
1.29293,1.4,1.72292e+06
1.31313,1.4,1.71091e+06
1.33333,1.4,1.70195e+06
1.35354,1.4,1.69609e+06
1.37374,1.4,1.69338e+06
1.39394,1.4,1.69385e+06
1.41414,1.4,1.69752e+06
1.43434,1.4,1.70438e+06
1.45455,1.4,1.71442e+06
1.47475,1.4,1.72761e+06
1.49495,1.4,1.74391e+06
1.51515,1.4,1.76327e+06
1.53535,1.4,1.7856e+06
1.55556,1.4,1.81082e+06
