Distance[um],dz[um],Mag_Ey
0.0808081,1.44,442497
0.10101,1.44,489849
0.121212,1.44,547741
0.141414,1.44,612412
0.161616,1.44,680560
0.181818,1.44,749345
0.20202,1.44,816382
0.222222,1.44,879750
0.242424,1.44,937984
0.262626,1.44,990080
0.282828,1.44,1.03549e+06
0.30303,1.44,1.07414e+06
0.323232,1.44,1.10639e+06
0.343434,1.44,1.13308e+06
0.363636,1.44,1.15551e+06
0.383838,1.44,1.44384e+06
0.40404,1.44,1.51586e+06
0.424242,1.44,1.50523e+06
0.444444,1.44,1.49209e+06
0.464646,1.44,1.47412e+06
0.484848,1.44,1.25655e+06
0.505051,1.44,1.19973e+06
0.525253,1.44,1.14424e+06
0.545455,1.44,1.08929e+06
0.565657,1.44,1.03418e+06
0.585859,1.44,978316
0.606061,1.44,921197
0.626263,1.44,862412
0.646465,1.44,801647
0.666667,1.44,738682
0.686869,1.44,673393
0.707071,1.44,605748
0.727273,1.44,475318
0.747475,1.44,409970
0.767677,1.44,358489
0.787879,1.44,318394
0.808081,1.44,287978
0.828283,1.44,266309
0.848485,1.44,508203
0.868687,1.44,442399
0.888889,1.44,377774
0.909091,1.44,319567
0.929293,1.44,271729
0.949495,1.44,236924
0.969697,1.44,216527
0.989899,1.44,210626
1.0101,1.44,218021
1.0303,1.44,355620
1.05051,1.44,309915
1.07071,1.44,254920
1.09091,1.44,200984
1.11111,1.44,156533
1.13131,1.44,128070
1.15152,1.44,120175
1.17172,1.44,135501
1.19192,1.44,174783
1.21212,1.44,236827
1.23232,1.44,318520
1.25253,1.44,626466
1.27273,1.44,570193
1.29293,1.44,558398
1.31313,1.44,581190
1.33333,1.44,629732
1.35354,1.44,696242
1.37374,1.44,773990
1.39394,1.44,857302
1.41414,1.44,941559
1.43434,1.44,1.02319e+06
1.45455,1.44,1.0997e+06
1.47475,1.44,1.16961e+06
1.49495,1.44,1.23253e+06
1.51515,1.44,1.2891e+06
1.53535,1.44,1.34104e+06
1.55556,1.44,1.39111e+06
1.57576,1.44,1.41555e+06
1.59596,1.44,1.45862e+06
1.61616,1.44,1.49432e+06
1.63636,1.44,1.462e+06
1.65657,1.44,1.43682e+06
1.67677,1.44,1.40852e+06
1.69697,1.44,1.37363e+06
1.71717,1.44,1.32952e+06
1.73737,1.44,1.27439e+06
1.75758,1.44,1.20724e+06
1.77778,1.44,1.12791e+06
1.79798,1.44,1.03707e+06
1.81818,1.44,936224
1.83838,1.44,827677
1.85859,1.44,714579
1.87879,1.44,600898
1.89899,1.44,491432
1.91919,1.44,391802
1.93939,1.44,308457
1.9596,1.44,220680
1.9798,1.44,111754
2,1.44,0
0,1.46,0
0.020202,1.46,82665.2
0.040404,1.46,349426
0.0606061,1.46,382462
0.0808081,1.46,431313
0.10101,1.46,491619
0.121212,1.46,559479
0.141414,1.46,631454
0.161616,1.46,704562
0.181818,1.46,776281
0.20202,1.46,844549
0.222222,1.46,907764
0.242424,1.46,964782
0.262626,1.46,1.01492e+06
0.282828,1.46,1.05795e+06
0.30303,1.46,1.09412e+06
0.323232,1.46,1.1241e+06
0.343434,1.46,1.14907e+06
0.363636,1.46,1.17063e+06
0.383838,1.46,1.51257e+06
0.40404,1.46,1.60744e+06
0.424242,1.46,1.59505e+06
0.444444,1.46,1.28247e+06
0.464646,1.46,1.22926e+06
0.484848,1.46,1.17835e+06
