Distance[um],dz[um],Mag_Ez
0.30303,1.44,1.00636e+06
0.323232,1.44,1.0358e+06
0.343434,1.44,1.06534e+06
0.363636,1.44,1.09624e+06
0.383838,1.44,1.10247e+06
0.40404,1.44,948053
0.424242,1.44,934017
0.444444,1.44,921634
0.464646,1.44,911858
0.484848,1.44,987339
0.505051,1.44,977668
0.525253,1.44,964893
0.545455,1.44,948847
0.565657,1.44,929379
0.585859,1.44,906348
0.606061,1.44,879625
0.626263,1.44,849096
0.646465,1.44,814658
0.666667,1.44,776222
0.686869,1.44,733708
0.707071,1.44,687054
0.727273,1.44,410550
0.747475,1.44,408925
0.767677,1.44,414029
0.787879,1.44,425960
0.808081,1.44,444350
0.828283,1.44,468371
0.848485,1.44,443179
0.868687,1.44,467687
0.888889,1.44,495375
0.909091,1.44,525529
0.929293,1.44,557634
0.949495,1.44,591366
0.969697,1.44,626598
0.989899,1.44,663399
1.0101,1.44,702030
1.0303,1.44,465338
1.05051,1.44,465585
1.07071,1.44,462053
1.09091,1.44,457441
1.11111,1.44,454085
1.13131,1.44,453961
1.15152,1.44,458684
1.17172,1.44,469508
1.19192,1.44,487325
1.21212,1.44,512668
1.23232,1.44,545707
1.25253,1.44,496162
1.27273,1.44,498839
1.29293,1.44,515611
1.31313,1.44,544058
1.33333,1.44,581987
1.35354,1.44,627427
1.37374,1.44,678633
1.39394,1.44,734084
1.41414,1.44,792484
1.43434,1.44,852761
1.45455,1.44,914067
1.47475,1.44,975779
1.49495,1.44,1.0375e+06
1.51515,1.44,1.09905e+06
1.53535,1.44,1.16049e+06
1.55556,1.44,1.22209e+06
1.57576,1.44,1.21683e+06
1.59596,1.44,1.23111e+06
1.61616,1.44,1.2416e+06
1.63636,1.44,1.30379e+06
1.65657,1.44,1.29598e+06
1.67677,1.44,1.28295e+06
1.69697,1.44,1.26393e+06
1.71717,1.44,1.23845e+06
1.73737,1.44,1.20634e+06
1.75758,1.44,1.16774e+06
1.77778,1.44,1.12309e+06
1.79798,1.44,1.07315e+06
1.81818,1.44,1.01897e+06
1.83838,1.44,961931
1.85859,1.44,903701
1.87879,1.44,846260
1.89899,1.44,791897
1.91919,1.44,743208
1.93939,1.44,703094
1.9596,1.44,513301
1.9798,1.44,468284
2,1.44,443395
0,1.46,532423
0.020202,1.46,558252
0.040404,1.46,561474
0.0606061,1.46,580080
0.0808081,1.46,607878
0.10101,1.46,642494
0.121212,1.46,681838
0.141414,1.46,724102
0.161616,1.46,767761
0.181818,1.46,811572
0.20202,1.46,854575
0.222222,1.46,896094
0.242424,1.46,935733
0.262626,1.46,973380
0.282828,1.46,1.00921e+06
0.30303,1.46,1.04367e+06
0.323232,1.46,1.0775e+06
0.343434,1.46,1.11172e+06
0.363636,1.46,1.14762e+06
0.383838,1.46,1.16785e+06
0.40404,1.46,1.00145e+06
0.424242,1.46,992188
0.444444,1.46,1.08051e+06
0.464646,1.46,1.07668e+06
0.484848,1.46,1.06971e+06
0.505051,1.46,1.05942e+06
0.525253,1.46,1.04568e+06
0.545455,1.46,1.02833e+06
0.565657,1.46,1.00724e+06
0.585859,1.46,982290
0.606061,1.46,953385
0.626263,1.46,920429
0.646465,1.46,883341
0.666667,1.46,842054
0.686869,1.46,796515
0.707071,1.46,746680
0.727273,1.46,410582
0.747475,1.46,407707
0.767677,1.46,411496
0.787879,1.46,422229
0.808081,1.46,439725
0.828283,1.46,463340
0.848485,1.46,491966
0.868687,1.46,490225
0.888889,1.46,518132
0.909091,1.46,548668
0.929293,1.46,581342
0.949495,1.46,615855
0.969697,1.46,652106
0.989899,1.46,690187
1.0101,1.46,730387
1.0303,1.46,514567
1.05051,1.46,512711
1.07071,1.46,508747
1.09091,1.46,504839
1.11111,1.46,502794
1.13131,1.46,504055
1.15152,1.46,509705
1.17172,1.46,520467
1.19192,1.46,536702
1.21212,1.46,501554
1.23232,1.46,510939
1.25253,1.46,354631
1.27273,1.46,400293
1.29293,1.46,458371
1.31313,1.46,525970
1.33333,1.46,600493
1.35354,1.46,637353
1.37374,1.46,681526
1.39394,1.46,731332
1.41414,1.46,785331
1.43434,1.46,842306
1.45455,1.46,901266
1.47475,1.46,961441
1.49495,1.46,1.02229e+06
1.51515,1.46,1.08349e+06
1.53535,1.46,1.14496e+06
1.55556,1.46,1.20681e+06
1.57576,1.46,1.19992e+06
1.59596,1.46,1.21311e+06
1.61616,1.46,1.28611e+06
1.63636,1.46,1.28495e+06
1.65657,1.46,1.27959e+06
1.67677,1.46,1.2689e+06
1.69697,1.46,1.25204e+06
1.71717,1.46,1.22847e+06
1.73737,1.46,1.19798e+06
1.75758,1.46,1.16065e+06
1.77778,1.46,1.11686e+06
1.79798,1.46,1.06733e+06
1.81818,1.46,1.01304e+06
1.83838,1.46,955327
1.85859,1.46,895794
1.87879,1.46,836371
1.89899,1.46,779290
1.91919,1.46,727093
1.93939,1.46,682625
1.9596,1.46,649040
1.9798,1.46,511249
2,1.46,497849
0,1.48,555463
0.020202,1.48,538996
0.040404,1.48,550391
0.0606061,1.48,573383
0.0808081,1.48,605357
0.10101,1.48,643979
0.121212,1.48,687199
0.141414,1.48,733249
0.161616,1.48,780645
0.181818,1.48,828183
0.20202,1.48,874945
0.222222,1.48,920293
0.242424,1.48,963872
0.262626,1.48,1.00561e+06
0.282828,1.48,1.04572e+06
0.30303,1.48,1.0847e+06
0.323232,1.48,1.12331e+06
0.343434,1.48,1.56409e+06
0.363636,1.48,1.64116e+06
0.383838,1.48,1.72068e+06
0.40404,1.48,1.16433e+06
0.424242,1.48,1.16639e+06
0.444444,1.48,1.16528e+06
0.464646,1.48,1.16083e+06
0.484848,1.48,1.15288e+06
0.505051,1.48,1.14129e+06
0.525253,1.48,1.12592e+06
0.545455,1.48,1.10666e+06
0.565657,1.48,1.08339e+06
0.585859,1.48,1.05603e+06
0.606061,1.48,1.0245e+06
0.626263,1.48,988710
0.646465,1.48,948620
0.666667,1.48,904182
0.686869,1.48,855364
0.707071,1.48,802148
0.727273,1.48,406805
0.747475,1.48,402373
0.767677,1.48,404554
0.787879,1.48,413811
0.808081,1.48,430147
0.828283,1.48,453103
0.848485,1.48,481755
0.868687,1.48,514720
0.888889,1.48,536753
0.909091,1.48,567573
0.929293,1.48,600709
0.949495,1.48,635888
0.969697,1.48,673035
0.989899,1.48,712267
1.0101,1.48,559815
1.0303,1.48,559977
1.05051,1.48,557268
1.07071,1.48,553683
1.09091,1.48,550857
1.11111,1.48,550064
1.13131,1.48,552215
1.15152,1.48,557862
1.17172,1.48,567196
1.19192,1.48,516138
1.21212,1.48,509061
1.23232,1.48,533128
1.25253,1.48,447536
1.27273,1.48,471890
1.29293,1.48,509717
1.31313,1.48,558111
1.33333,1.48,614460
1.35354,1.48,676452
1.37374,1.48,742068
1.39394,1.48,809587
1.41414,1.48,877586
1.43434,1.48,944935
1.45455,1.48,1.0108e+06
1.47475,1.48,1.07465e+06
1.49495,1.48,1.00898e+06
1.51515,1.48,1.06896e+06
1.53535,1.48,1.12969e+06
1.55556,1.48,1.19114e+06
1.57576,1.48,1.25353e+06
1.59596,1.48,1.26202e+06
1.61616,1.48,1.2655e+06
1.63636,1.48,1.26631e+06
1.65657,1.48,1.26293e+06
1.67677,1.48,1.25416e+06
1.69697,1.48,1.23911e+06
1.71717,1.48,1.2172e+06
1.73737,1.48,1.18815e+06
1.75758,1.48,1.15198e+06
1.77778,1.48,1.10905e+06
1.79798,1.48,1.05998e+06
1.81818,1.48,1.00572e+06
1.83838,1.48,947544
1.85859,1.48,887004
1.87879,1.48,825973
1.89899,1.48,766628
1.91919,1.48,711456
1.93939,1.48,663246
1.9596,1.48,625098
1.9798,1.48,600417
2,1.48,540898
0,1.5,848453
0.020202,1.5,818549
0.040404,1.5,754720
0.0606061,1.5,721990
0.0808081,1.5,715484
0.10101,1.5,730739
0.121212,1.5,763704
0.141414,1.5,810739
0.161616,1.5,868618
0.181818,1.5,934524
0.20202,1.5,1.00605e+06
0.222222,1.5,1.08122e+06
0.242424,1.5,1.15844e+06
0.262626,1.5,1.23654e+06
0.282828,1.5,1.31478e+06
0.30303,1.5,1.3928e+06
0.323232,1.5,1.47068e+06
0.343434,1.5,1.54889e+06
0.363636,1.5,1.62834e+06
0.383838,1.5,1.71116e+06
0.40404,1.5,1.66076e+06
0.424242,1.5,1.20627e+06
0.444444,1.5,1.18848e+06
0.464646,1.5,1.24607e+06
0.484848,1.5,1.23646e+06
0.505051,1.5,1.22293e+06
0.525253,1.5,1.20536e+06
0.545455,1.5,1.18366e+06
0.565657,1.5,1.15774e+06
0.585859,1.5,1.12754e+06
0.606061,1.5,1.09298e+06
0.626263,1.5,1.05404e+06
0.646465,1.5,1.01066e+06
0.666667,1.5,962843
0.686869,1.5,910565
0.707071,1.5,853835
0.727273,1.5,400029
0.747475,1.5,393584
0.767677,1.5,393712
