Distance[um],dz[um],Mag_Ey
0,1.4,0
0.020202,1.4,237430
0.040404,1.4,470158
0.0606061,1.4,698191
0.0808081,1.4,1.38969e+06
0.10101,1.4,1.54044e+06
0.121212,1.4,1.68756e+06
0.141414,1.4,1.83034e+06
0.161616,1.4,1.96818e+06
0.181818,1.4,2.10061e+06
0.20202,1.4,2.22722e+06
0.222222,1.4,2.34774e+06
0.242424,1.4,2.46199e+06
0.262626,1.4,2.5699e+06
0.282828,1.4,2.6715e+06
0.30303,1.4,2.76693e+06
0.323232,1.4,2.85643e+06
0.343434,1.4,2.94034e+06
0.363636,1.4,3.06835e+06
0.383838,1.4,2.98676e+06
0.40404,1.4,2.88692e+06
0.424242,1.4,2.95475e+06
0.444444,1.4,2.86458e+06
0.464646,1.4,2.77245e+06
0.484848,1.4,2.67804e+06
0.505051,1.4,2.58154e+06
0.525253,1.4,2.48363e+06
0.545455,1.4,2.38555e+06
0.565657,1.4,2.35655e+06
0.585859,1.4,2.26291e+06
0.606061,1.4,2.17538e+06
0.626263,1.4,2.09559e+06
0.646465,1.4,2.0251e+06
0.666667,1.4,1.96538e+06
0.686869,1.4,1.91784e+06
0.707071,1.4,1.88376e+06
0.727273,1.4,1.86438e+06
0.747475,1.4,1.93415e+06
0.767677,1.4,1.86305e+06
0.787879,1.4,1.80897e+06
0.808081,1.4,1.769e+06
0.828283,1.4,1.94476e+06
0.848485,1.4,1.9729e+06
0.868687,1.4,1.99431e+06
0.888889,1.4,2.0075e+06
0.909091,1.4,2.01126e+06
0.929293,1.4,2.00462e+06
0.949495,1.4,1.98686e+06
0.969697,1.4,1.9575e+06
0.989899,1.4,1.91633e+06
1.0101,1.4,1.86338e+06
1.0303,1.4,1.79892e+06
1.05051,1.4,1.17379e+06
1.07071,1.4,1.13288e+06
1.09091,1.4,1.09204e+06
1.11111,1.4,1.05696e+06
1.13131,1.4,1.03382e+06
1.15152,1.4,1.02925e+06
1.17172,1.4,1.05037e+06
1.19192,1.4,1.10473e+06
1.21212,1.4,1.20038e+06
1.23232,1.4,1.25656e+06
1.25253,1.4,1.2381e+06
1.27273,1.4,1.31126e+06
1.29293,1.4,1.38273e+06
1.31313,1.4,1.48162e+06
1.33333,1.4,1.60118e+06
1.35354,1.4,1.7354e+06
1.37374,1.4,1.87901e+06
1.39394,1.4,2.02751e+06
1.41414,1.4,2.17715e+06
1.43434,1.4,2.32494e+06
1.45455,1.4,2.46864e+06
1.47475,1.4,2.60677e+06
1.49495,1.4,2.73858e+06
1.51515,1.4,2.86411e+06
1.53535,1.4,2.98414e+06
1.55556,1.4,3.10019e+06
1.57576,1.4,3.23365e+06
1.59596,1.4,3.3235e+06
1.61616,1.4,3.39276e+06
1.63636,1.4,3.44109e+06
1.65657,1.4,3.46821e+06
1.67677,1.4,3.73097e+06
1.69697,1.4,3.63712e+06
1.71717,1.4,3.53277e+06
1.73737,1.4,3.41754e+06
1.75758,1.4,3.29117e+06
1.77778,1.4,3.15346e+06
1.79798,1.4,3.00436e+06
1.81818,1.4,2.84387e+06
1.83838,1.4,2.67214e+06
1.85859,1.4,2.4894e+06
1.87879,1.4,2.29598e+06
1.89899,1.4,2.0923e+06
1.91919,1.4,1.01448e+06
1.93939,1.4,765193
