Distance[um],dz[um],Mag_Ex
0,1.4,3.21385e+06
0.020202,1.4,4.03543e+06
0.040404,1.4,3.92953e+06
0.0606061,1.4,3.80936e+06
0.0808081,1.4,2.97465e+06
0.10101,1.4,2.83795e+06
0.121212,1.4,2.70155e+06
0.141414,1.4,2.56539e+06
0.161616,1.4,2.42943e+06
0.181818,1.4,2.29369e+06
0.20202,1.4,2.1582e+06
0.222222,1.4,2.02302e+06
0.242424,1.4,1.88825e+06
0.262626,1.4,1.75402e+06
0.282828,1.4,1.62048e+06
0.30303,1.4,1.48783e+06
0.323232,1.4,1.35629e+06
0.343434,1.4,1.2261e+06
0.363636,1.4,957549
0.383838,1.4,803430
0.40404,1.4,727578
0.424242,1.4,437805
0.444444,1.4,460278
0.464646,1.4,488142
0.484848,1.4,520357
0.505051,1.4,555984
0.525253,1.4,594178
0.545455,1.4,634195
0.565657,1.4,218511
0.585859,1.4,249230
0.606061,1.4,305701
0.626263,1.4,384611
0.646465,1.4,480278
0.666667,1.4,584653
0.686869,1.4,687316
0.707071,1.4,775481
0.727273,1.4,833993
0.747475,1.4,298064
0.767677,1.4,268078
0.787879,1.4,254287
0.808081,1.4,260452
0.828283,1.4,214860
0.848485,1.4,213446
0.868687,1.4,260478
0.888889,1.4,345203
0.909091,1.4,457856
0.929293,1.4,589650
0.949495,1.4,732787
0.969697,1.4,880447
0.989899,1.4,1.0268e+06
1.0101,1.4,1.16699e+06
1.0303,1.4,1.29715e+06
1.05051,1.4,425948
1.07071,1.4,392452
1.09091,1.4,360435
1.11111,1.4,330078
1.13131,1.4,301919
1.15152,1.4,276859
1.17172,1.4,256157
1.19192,1.4,241431
1.21212,1.4,234659
1.23232,1.4,454838
1.25253,1.4,462572
1.27273,1.4,744828
1.29293,1.4,699252
1.31313,1.4,643421
1.33333,1.4,581397
1.35354,1.4,516693
1.37374,1.4,452273
1.39394,1.4,390552
1.41414,1.4,333398
1.43434,1.4,282130
1.45455,1.4,237518
1.47475,1.4,199785
1.49495,1.4,168604
1.51515,1.4,143100
1.53535,1.4,121850
1.55556,1.4,102882
1.57576,1.4,329040
1.59596,1.4,384113
1.61616,1.4,482333
1.63636,1.4,613821
1.65657,1.4,769447
1.67677,1.4,1.35309e+06
1.69697,1.4,1.52596e+06
1.71717,1.4,1.70629e+06
1.73737,1.4,1.89236e+06
1.75758,1.4,2.08276e+06
1.77778,1.4,2.27636e+06
1.79798,1.4,2.47233e+06
1.81818,1.4,2.67014e+06
1.83838,1.4,2.86955e+06
1.85859,1.4,3.07063e+06
1.87879,1.4,3.27373e+06
1.89899,1.4,3.4795e+06
1.91919,1.4,4.57482e+06
1.93939,1.4,4.65487e+06
1.9596,1.4,4.7149e+06
1.9798,1.4,4.79194e+06
2,1.4,4.91203e+06
0,1.42,3.24567e+06
0.020202,1.42,4.14436e+06
0.040404,1.42,4.05871e+06
0.0606061,1.42,3.22252e+06
0.0808081,1.42,3.0829e+06
0.10101,1.42,2.94363e+06
0.121212,1.42,2.80463e+06
0.141414,1.42,2.66586e+06
0.161616,1.42,2.52731e+06
0.181818,1.42,2.38899e+06
0.20202,1.42,2.25096e+06
0.222222,1.42,2.1133e+06
0.242424,1.42,1.97613e+06
0.262626,1.42,1.83958e+06
0.282828,1.42,1.70383e+06
0.30303,1.42,1.56909e+06
0.323232,1.42,1.43559e+06
0.343434,1.42,1.3036e+06
0.363636,1.42,1.13443e+06
0.383838,1.42,937762
0.40404,1.42,837586
0.424242,1.42,391289
0.444444,1.42,407857
0.464646,1.42,431136
0.484848,1.42,459979
0.505051,1.42,493336
0.525253,1.42,222919
0.545455,1.42,203203
0.565657,1.42,209580
0.585859,1.42,242972
0.606061,1.42,301928
0.626263,1.42,382631
0.646465,1.42,478896
0.666667,1.42,582169
0.686869,1.42,681529
0.707071,1.42,763686
0.727273,1.42,812980
0.747475,1.42,298961
0.767677,1.42,259557
0.787879,1.42,232428
0.808081,1.42,220906
0.828283,1.42,228993
0.848485,1.42,205813
0.868687,1.42,259661
0.888889,1.42,352454
0.909091,1.42,473817
0.929293,1.42,614361
0.949495,1.42,765680
0.969697,1.42,920349
0.989899,1.42,1.07193e+06
1.0101,1.42,1.21496e+06
1.0303,1.42,1.34498e+06
1.05051,1.42,377734
1.07071,1.42,345889
1.09091,1.42,315185
1.11111,1.42,285817
1.13131,1.42,258339
1.15152,1.42,233665
1.17172,1.42,213068
1.19192,1.42,198183
1.21212,1.42,191000
1.23232,1.42,514728
1.25253,1.42,508844
1.27273,1.42,742725
1.29293,1.42,685734
1.31313,1.42,621464
1.33333,1.42,553744
1.35354,1.42,485854
1.37374,1.42,420523
1.39394,1.42,359936
1.41414,1.42,305725
1.43434,1.42,258976
1.45455,1.42,220227
1.47475,1.42,189467
1.49495,1.42,166135
1.51515,1.42,149124
1.53535,1.42,136777
1.55556,1.42,126889
1.57576,1.42,359785
1.59596,1.42,451710
1.61616,1.42,592841
1.63636,1.42,772344
1.65657,1.42,1.28501e+06
1.67677,1.42,1.45475e+06
1.69697,1.42,1.63421e+06
1.71717,1.42,1.82125e+06
1.73737,1.42,2.01406e+06
1.75758,1.42,2.21112e+06
1.77778,1.42,2.41118e+06
1.79798,1.42,2.61333e+06
1.81818,1.42,2.81692e+06
1.83838,1.42,3.02161e+06
1.85859,1.42,3.22736e+06
1.87879,1.42,3.43441e+06
1.89899,1.42,3.64331e+06
1.91919,1.42,3.85491e+06
1.93939,1.42,4.82895e+06
1.9596,1.42,4.87799e+06
1.9798,1.42,4.92977e+06
2,1.42,5.01774e+06
0,1.44,3.27261e+06
0.020202,1.44,4.25815e+06
0.040404,1.44,4.19512e+06
0.0606061,1.44,3.30091e+06
0.0808081,1.44,3.15925e+06
0.10101,1.44,3.01792e+06
0.121212,1.44,2.87687e+06
0.141414,1.44,2.73607e+06
0.161616,1.44,2.59553e+06
0.181818,1.44,2.45527e+06
0.20202,1.44,2.31538e+06
0.222222,1.44,2.17594e+06
0.242424,1.44,2.03708e+06
0.262626,1.44,1.89897e+06
0.282828,1.44,1.7618e+06
0.30303,1.44,1.62578e+06
0.323232,1.44,1.49117e+06
0.343434,1.44,1.35825e+06
0.363636,1.44,1.22734e+06
0.383838,1.44,1.0781e+06
0.40404,1.44,354105
0.424242,1.44,353571
0.444444,1.44,362542
0.464646,1.44,379664
0.484848,1.44,319438
0.505051,1.44,256306
0.525253,1.44,212319
0.545455,1.44,192629
0.565657,1.44,200021
0.585859,1.44,234910
0.606061,1.44,295344
0.626263,1.44,377001
0.646465,1.44,473195
0.666667,1.44,574866
0.686869,1.44,670590
0.707071,1.44,746574
0.727273,1.44,366153
0.747475,1.44,313102
0.767677,1.44,266686
0.787879,1.44,229135
0.808081,1.44,203351
0.828283,1.44,192906
0.848485,1.44,193495
0.868687,1.44,255568
0.888889,1.44,357392
0.909091,1.44,487989
0.929293,1.44,637363
0.949495,1.44,796501
0.969697,1.44,957375
0.989899,1.44,1.11294e+06
1.0101,1.44,1.25713e+06
1.0303,1.44,363988
1.05051,1.44,332835
1.07071,1.44,302661
1.09091,1.44,273316
1.11111,1.44,245010
1.13131,1.44,218310
1.15152,1.44,194146
1.17172,1.44,173805
1.19192,1.44,158934
1.21212,1.44,151541
1.23232,1.44,153992
1.25253,1.44,799126
1.27273,1.44,741433
1.29293,1.44,675341
1.31313,1.44,604993
1.33333,1.44,533984
1.35354,1.44,465360
1.37374,1.44,401618
1.39394,1.44,344709
1.41414,1.44,296032
1.43434,1.44,256440
1.45455,1.44,226237
1.47475,1.44,205179
1.49495,1.44,192472
1.51515,1.44,186775
1.53535,1.44,186198
1.55556,1.44,188304
1.57576,1.44,428181
1.59596,1.44,566567
1.61616,1.44,760553
1.63636,1.44,1.19311e+06
