Distance[um],dz[um],Mag_Ez
1.29293,1.42,3.72927e+06
1.31313,1.42,3.59521e+06
1.33333,1.42,3.46342e+06
1.35354,1.42,3.33385e+06
1.37374,1.42,3.20657e+06
1.39394,1.42,3.08172e+06
1.41414,1.42,2.95956e+06
1.43434,1.42,2.84046e+06
1.45455,1.42,2.72488e+06
1.47475,1.42,2.61337e+06
1.49495,1.42,2.50659e+06
1.51515,1.42,2.40531e+06
1.53535,1.42,2.31039e+06
1.55556,1.42,2.22279e+06
1.57576,1.42,2.27289e+06
1.59596,1.42,2.13485e+06
1.61616,1.42,1.99418e+06
1.63636,1.42,1.84827e+06
1.65657,1.42,1.6629e+06
1.67677,1.42,1.53912e+06
1.69697,1.42,1.4411e+06
1.71717,1.42,1.37083e+06
1.73737,1.42,1.32979e+06
1.75758,1.42,1.31889e+06
1.77778,1.42,1.33852e+06
1.79798,1.42,1.3885e+06
1.81818,1.42,1.46815e+06
1.83838,1.42,1.57621e+06
1.85859,1.42,1.71089e+06
1.87879,1.42,1.86986e+06
1.89899,1.42,2.05024e+06
1.91919,1.42,2.24862e+06
1.93939,1.42,3.11679e+06
1.9596,1.42,3.40099e+06
1.9798,1.42,3.67391e+06
2,1.42,3.93731e+06
0,1.44,3.37467e+06
0.020202,1.44,2.09071e+06
0.040404,1.44,1.81012e+06
0.0606061,1.44,1.92597e+06
0.0808081,1.44,1.7232e+06
0.10101,1.44,1.52993e+06
0.121212,1.44,1.35809e+06
0.141414,1.44,1.21741e+06
0.161616,1.44,1.11544e+06
0.181818,1.44,1.05752e+06
0.20202,1.44,1.04682e+06
0.222222,1.44,1.08432e+06
0.242424,1.44,1.16878e+06
0.262626,1.44,1.29681e+06
0.282828,1.44,1.46279e+06
0.30303,1.44,1.65893e+06
0.323232,1.44,1.87526e+06
0.343434,1.44,2.0996e+06
0.363636,1.44,2.31758e+06
0.383838,1.44,2.45412e+06
0.40404,1.44,2.45978e+06
0.424242,1.44,2.54609e+06
0.444444,1.44,2.63751e+06
0.464646,1.44,2.73421e+06
0.484848,1.44,2.47689e+06
0.505051,1.44,2.6081e+06
0.525253,1.44,2.74034e+06
0.545455,1.44,2.87344e+06
0.565657,1.44,3.00728e+06
0.585859,1.44,3.14179e+06
0.606061,1.44,3.27694e+06
0.626263,1.44,3.41273e+06
0.646465,1.44,3.54922e+06
0.666667,1.44,3.68651e+06
0.686869,1.44,3.82474e+06
0.707071,1.44,3.9641e+06
0.727273,1.44,3.87103e+06
0.747475,1.44,3.9808e+06
0.767677,1.44,4.08899e+06
0.787879,1.44,4.19459e+06
0.808081,1.44,4.29666e+06
0.828283,1.44,4.39427e+06
0.848485,1.44,4.36333e+06
0.868687,1.44,4.49166e+06
0.888889,1.44,4.61151e+06
0.909091,1.44,4.72284e+06
0.929293,1.44,4.82574e+06
0.949495,1.44,4.92038e+06
0.969697,1.44,5.00705e+06
0.989899,1.44,5.08613e+06
1.0101,1.44,5.1581e+06
1.0303,1.44,4.93293e+06
1.05051,1.44,4.85181e+06
1.07071,1.44,4.76834e+06
1.09091,1.44,4.68272e+06
1.11111,1.44,4.59547e+06
1.13131,1.44,4.50748e+06
1.15152,1.44,4.41996e+06
1.17172,1.44,4.33447e+06
1.19192,1.44,4.25293e+06
1.21212,1.44,4.17757e+06
1.23232,1.44,4.111e+06
1.25253,1.44,4.19869e+06
1.27273,1.44,4.04562e+06
1.29293,1.44,3.89545e+06
1.31313,1.44,3.74792e+06
1.33333,1.44,3.60285e+06
1.35354,1.44,3.4602e+06
1.37374,1.44,3.32e+06
1.39394,1.44,3.18241e+06
1.41414,1.44,3.04765e+06
1.43434,1.44,2.91609e+06
1.45455,1.44,2.78815e+06
1.47475,1.44,2.6644e+06
1.49495,1.44,2.54546e+06
1.51515,1.44,2.4321e+06
1.53535,1.44,2.32515e+06
1.55556,1.44,2.22557e+06
1.57576,1.44,2.26469e+06
1.59596,1.44,2.12015e+06
1.61616,1.44,1.97424e+06
1.63636,1.44,1.77715e+06
1.65657,1.44,1.6396e+06
1.67677,1.44,1.5239e+06
1.69697,1.44,1.43258e+06
1.71717,1.44,1.36766e+06
1.73737,1.44,1.33059e+06
1.75758,1.44,1.3223e+06
1.77778,1.44,1.34315e+06
1.79798,1.44,1.39299e+06
1.81818,1.44,1.47111e+06
1.83838,1.44,1.57626e+06
1.85859,1.44,1.70663e+06
1.87879,1.44,1.8599e+06
1.89899,1.44,2.0332e+06
1.91919,1.44,2.22309e+06
1.93939,1.44,2.42561e+06
1.9596,1.44,3.4998e+06
1.9798,1.44,3.7814e+06
2,1.44,4.05352e+06
0,1.46,3.4492e+06
0.020202,1.46,2.0434e+06
0.040404,1.46,2.14151e+06
0.0606061,1.46,1.93733e+06
0.0808081,1.46,1.73044e+06
0.10101,1.46,1.53487e+06
0.121212,1.46,1.36248e+06
0.141414,1.46,1.22292e+06
0.161616,1.46,1.12365e+06
0.181818,1.46,1.06994e+06
0.20202,1.46,1.06487e+06
0.222222,1.46,1.10935e+06
0.242424,1.46,1.20205e+06
0.262626,1.46,1.33951e+06
0.282828,1.46,1.51603e+06
0.30303,1.46,1.72373e+06
0.323232,1.46,1.95257e+06
0.343434,1.46,2.19027e+06
0.363636,1.46,2.42241e+06
0.383838,1.46,2.57448e+06
0.40404,1.46,2.53512e+06
0.424242,1.46,2.63286e+06
0.444444,1.46,2.39352e+06
0.464646,1.46,2.52496e+06
0.484848,1.46,2.65736e+06
0.505051,1.46,2.79053e+06
0.525253,1.46,2.92433e+06
0.545455,1.46,3.05864e+06
0.565657,1.46,3.19342e+06
0.585859,1.46,3.32864e+06
0.606061,1.46,3.46432e+06
0.626263,1.46,3.60054e+06
0.646465,1.46,3.7374e+06
0.666667,1.46,3.87506e+06
0.686869,1.46,4.01372e+06
0.707071,1.46,4.15363e+06
0.727273,1.46,3.95993e+06
0.747475,1.46,4.07789e+06
0.767677,1.46,4.19268e+06
0.787879,1.46,4.30338e+06
0.808081,1.46,4.40912e+06
