Distance[um],dz[um],Mag_E[V_per_meter]
0,1.4,3.21876e+06
0.020202,1.4,2.9639e+06
0.040404,1.4,2.71005e+06
0.0606061,1.4,2.46033e+06
0.0808081,1.4,2.23936e+06
0.10101,1.4,2.04285e+06
0.121212,1.4,1.85309e+06
0.141414,1.4,1.67939e+06
0.161616,1.4,1.5297e+06
0.181818,1.4,1.4106e+06
0.20202,1.4,1.32728e+06
0.222222,1.4,1.28358e+06
0.242424,1.4,1.28194e+06
0.262626,1.4,1.32346e+06
0.282828,1.4,1.40783e+06
0.30303,1.4,1.53339e+06
0.323232,1.4,1.6971e+06
0.343434,1.4,1.89456e+06
0.363636,1.4,2.02357e+06
0.383838,1.4,2.19224e+06
0.40404,1.4,2.40944e+06
0.424242,1.4,2.52355e+06
0.444444,1.4,2.57038e+06
0.464646,1.4,2.62771e+06
0.484848,1.4,2.6937e+06
0.505051,1.4,2.76651e+06
0.525253,1.4,2.84431e+06
0.545455,1.4,2.92528e+06
0.565657,1.4,3.00562e+06
0.585859,1.4,3.08064e+06
0.606061,1.4,3.14972e+06
0.626263,1.4,3.21242e+06
0.646465,1.4,3.26838e+06
0.666667,1.4,3.31735e+06
0.686869,1.4,3.35916e+06
0.707071,1.4,3.39374e+06
0.727273,1.4,3.42112e+06
0.747475,1.4,3.32759e+06
0.767677,1.4,3.17145e+06
0.787879,1.4,3.02919e+06
0.808081,1.4,2.91844e+06
0.828283,1.4,2.8769e+06
0.848485,1.4,2.95341e+06
0.868687,1.4,3.02403e+06
0.888889,1.4,3.08827e+06
0.909091,1.4,3.14591e+06
0.929293,1.4,3.197e+06
0.949495,1.4,3.24185e+06
0.969697,1.4,3.28103e+06
0.989899,1.4,3.31538e+06
1.0101,1.4,3.34601e+06
1.0303,1.4,3.37429e+06
1.05051,1.4,3.37779e+06
1.07071,1.4,3.34221e+06
1.09091,1.4,3.32043e+06
1.11111,1.4,3.34237e+06
1.13131,1.4,3.42027e+06
1.15152,1.4,3.54873e+06
1.17172,1.4,3.70467e+06
1.19192,1.4,3.84734e+06
1.21212,1.4,3.91834e+06
1.23232,1.4,3.74024e+06
1.25253,1.4,3.50516e+06
1.27273,1.4,3.28368e+06
1.29293,1.4,3.19698e+06
1.31313,1.4,3.11332e+06
1.33333,1.4,3.03191e+06
1.35354,1.4,2.95222e+06
1.37374,1.4,2.87396e+06
1.39394,1.4,2.79707e+06
1.41414,1.4,2.72176e+06
1.43434,1.4,2.64847e+06
1.45455,1.4,2.5779e+06
1.47475,1.4,2.511e+06
1.49495,1.4,2.44894e+06
1.51515,1.4,2.39317e+06
1.53535,1.4,2.34536e+06
1.55556,1.4,2.30745e+06
1.57576,1.4,2.20677e+06
1.59596,1.4,2.03706e+06
1.61616,1.4,1.88797e+06
1.63636,1.4,1.76299e+06
1.65657,1.4,1.66616e+06
1.67677,1.4,1.56921e+06
1.69697,1.4,1.49206e+06
1.71717,1.4,1.45399e+06
1.73737,1.4,1.45566e+06
1.75758,1.4,1.49695e+06
1.77778,1.4,1.57691e+06
1.79798,1.4,1.69382e+06
1.81818,1.4,1.84513e+06
1.83838,1.4,2.0275e+06
1.85859,1.4,2.23679e+06
1.87879,1.4,2.46805e+06
1.89899,1.4,2.71552e+06
1.91919,1.4,2.95886e+06
1.93939,1.4,3.1709e+06
1.9596,1.4,3.38796e+06
1.9798,1.4,3.6075e+06
2,1.4,3.8288e+06
0,1.42,3.1637e+06
0.020202,1.42,2.90131e+06
0.040404,1.42,2.64327e+06
0.0606061,1.42,2.40316e+06
0.0808081,1.42,2.21142e+06
0.10101,1.42,2.02094e+06
0.121212,1.42,1.84153e+06
0.141414,1.42,1.68165e+06
0.161616,1.42,1.54837e+06
0.181818,1.42,1.44739e+06
0.20202,1.42,1.38305e+06
0.222222,1.42,1.35829e+06
0.242424,1.42,1.37471e+06
0.262626,1.42,1.43252e+06
0.282828,1.42,1.53054e+06
0.30303,1.42,1.66626e+06
0.323232,1.42,1.83576e+06
0.343434,1.42,2.03375e+06
0.363636,1.42,2.21969e+06
0.383838,1.42,2.38629e+06
0.40404,1.42,2.60642e+06
0.424242,1.42,2.66523e+06
0.444444,1.42,2.71201e+06
0.464646,1.42,2.76805e+06
0.484848,1.42,2.83134e+06
0.505051,1.42,2.89992e+06
0.525253,1.42,2.96934e+06
0.545455,1.42,3.03461e+06
0.565657,1.42,3.09499e+06
0.585859,1.42,3.14985e+06
0.606061,1.42,3.19868e+06
0.626263,1.42,3.24103e+06
0.646465,1.42,3.27658e+06
0.666667,1.42,3.30508e+06
0.686869,1.42,3.32639e+06
0.707071,1.42,3.34046e+06
0.727273,1.42,3.34733e+06
0.747475,1.42,3.22775e+06
0.767677,1.42,3.07004e+06
0.787879,1.42,2.9145e+06
0.808081,1.42,2.77955e+06
0.828283,1.42,2.6658e+06
0.848485,1.42,2.66831e+06
0.868687,1.42,2.72988e+06
0.888889,1.42,2.785e+06
0.909091,1.42,2.83363e+06
0.929293,1.42,2.87602e+06
0.949495,1.42,2.91264e+06
0.969697,1.42,2.94428e+06
0.989899,1.42,2.97194e+06
1.0101,1.42,2.99694e+06
1.0303,1.42,3.02081e+06
1.05051,1.42,3.0275e+06
1.07071,1.42,2.9946e+06
1.09091,1.42,2.97199e+06
1.11111,1.42,2.99272e+06
1.13131,1.42,3.07215e+06
1.15152,1.42,3.208e+06
1.17172,1.42,3.38032e+06
1.19192,1.42,3.55148e+06
1.21212,1.42,3.66619e+06
1.23232,1.42,3.61091e+06
1.25253,1.42,3.3604e+06
1.27273,1.42,3.25068e+06
1.29293,1.42,3.17542e+06
1.31313,1.42,3.10304e+06
1.33333,1.42,3.03268e+06
1.35354,1.42,2.96371e+06
1.37374,1.42,2.89576e+06
1.39394,1.42,2.8287e+06
1.41414,1.42,2.76265e+06
1.43434,1.42,2.69797e+06
1.45455,1.42,2.63529e+06
1.47475,1.42,2.57546e+06
1.49495,1.42,2.51958e+06
1.51515,1.42,2.46902e+06
1.53535,1.42,2.42538e+06
1.55556,1.42,2.3905e+06
1.57576,1.42,2.30653e+06
1.59596,1.42,2.12834e+06
1.61616,1.42,1.97422e+06
1.63636,1.42,1.84801e+06
1.65657,1.42,1.73176e+06
1.67677,1.42,1.62857e+06
1.69697,1.42,1.5572e+06
1.71717,1.42,1.51984e+06
1.73737,1.42,1.51788e+06
1.75758,1.42,1.5519e+06
1.77778,1.42,1.62169e+06
1.79798,1.42,1.72622e+06
1.81818,1.42,1.86367e+06
1.83838,1.42,2.0314e+06
1.85859,1.42,2.226e+06
1.87879,1.42,2.44322e+06
1.89899,1.42,2.67804e+06
1.91919,1.42,2.92461e+06
1.93939,1.42,3.15449e+06
1.9596,1.42,3.3591e+06
1.9798,1.42,3.56965e+06
2,1.42,3.78528e+06
0,1.44,3.09232e+06
0.020202,1.44,2.82417e+06
0.040404,1.44,2.56428e+06
0.0606061,1.44,2.37004e+06
0.0808081,1.44,2.18064e+06
0.10101,1.44,1.99773e+06
0.121212,1.44,1.83026e+06
0.141414,1.44,1.68582e+06
0.161616,1.44,1.5706e+06
0.181818,1.44,1.48945e+06
0.20202,1.44,1.44582e+06
0.222222,1.44,1.4418e+06
0.242424,1.44,1.4781e+06
0.262626,1.44,1.55407e+06
0.282828,1.44,1.66766e+06
0.30303,1.44,1.81548e+06
0.323232,1.44,1.99275e+06
0.343434,1.44,2.19331e+06
0.363636,1.44,2.40964e+06
0.383838,1.44,2.5873e+06
0.40404,1.44,2.7711e+06
0.424242,1.44,2.80533e+06
0.444444,1.44,2.8495e+06
0.464646,1.44,2.90146e+06
0.484848,1.44,2.95626e+06
0.505051,1.44,3.00851e+06
0.525253,1.44,3.0573e+06
0.545455,1.44,3.10184e+06
0.565657,1.44,3.14142e+06
0.585859,1.44,3.17544e+06
0.606061,1.44,3.20339e+06
0.626263,1.44,3.22487e+06
0.646465,1.44,3.23954e+06
0.666667,1.44,3.2472e+06
0.686869,1.44,3.24771e+06
0.707071,1.44,3.24104e+06
0.727273,1.44,3.21477e+06
0.747475,1.44,3.08938e+06
0.767677,1.44,2.92167e+06
0.787879,1.44,2.74861e+06
0.808081,1.44,2.58937e+06
0.828283,1.44,2.44535e+06
0.848485,1.44,2.30221e+06
0.868687,1.44,2.3555e+06
0.888889,1.44,2.40279e+06
0.909091,1.44,2.44423e+06
0.929293,1.44,2.48022e+06
0.949495,1.44,2.51145e+06
0.969697,1.44,2.53886e+06
0.989899,1.44,2.56368e+06
1.0101,1.44,2.58737e+06
1.0303,1.44,2.63057e+06
1.05051,1.44,2.63598e+06
1.07071,1.44,2.59607e+06
1.09091,1.44,2.56467e+06
1.11111,1.44,2.57793e+06
1.13131,1.44,2.65436e+06
1.15152,1.44,2.79479e+06
1.17172,1.44,2.98238e+06
