Distance[um],dz[um],Mag_Ez
0,1.4,776632
0.020202,1.4,781188
0.040404,1.4,777734
0.0606061,1.4,783369
0.0808081,1.4,845487
0.10101,1.4,856293
0.121212,1.4,869193
0.141414,1.4,884980
0.161616,1.4,904353
0.181818,1.4,927916
0.20202,1.4,956177
0.222222,1.4,989547
0.242424,1.4,1.02834e+06
0.262626,1.4,1.07279e+06
0.282828,1.4,1.12301e+06
0.30303,1.4,1.17903e+06
0.323232,1.4,1.24079e+06
0.343434,1.4,1.30814e+06
0.363636,1.4,1.34694e+06
0.383838,1.4,1.40183e+06
0.40404,1.4,1.45496e+06
0.424242,1.4,1.48478e+06
0.444444,1.4,1.46669e+06
0.464646,1.4,1.45203e+06
0.484848,1.4,1.44101e+06
0.505051,1.4,1.43384e+06
0.525253,1.4,1.43074e+06
0.545455,1.4,1.43193e+06
0.565657,1.4,1.31692e+06
0.585859,1.4,1.35009e+06
0.606061,1.4,1.38462e+06
0.626263,1.4,1.42046e+06
0.646465,1.4,1.45756e+06
0.666667,1.4,1.49589e+06
0.686869,1.4,1.53538e+06
0.707071,1.4,1.57601e+06
0.727273,1.4,1.61773e+06
0.747475,1.4,1.80742e+06
0.767677,1.4,1.8627e+06
0.787879,1.4,1.9187e+06
0.808081,1.4,1.97513e+06
0.828283,1.4,2.08561e+06
0.848485,1.4,2.15816e+06
0.868687,1.4,2.22916e+06
0.888889,1.4,2.2985e+06
0.909091,1.4,2.36609e+06
0.929293,1.4,2.43191e+06
0.949495,1.4,2.49595e+06
0.969697,1.4,2.55826e+06
0.989899,1.4,2.61893e+06
1.0101,1.4,2.67809e+06
1.0303,1.4,2.7359e+06
1.05051,1.4,2.47126e+06
1.07071,1.4,2.41922e+06
1.09091,1.4,2.3695e+06
1.11111,1.4,2.32246e+06
1.13131,1.4,2.27845e+06
1.15152,1.4,2.23784e+06
1.17172,1.4,2.20098e+06
1.19192,1.4,2.16825e+06
1.21212,1.4,2.14001e+06
1.23232,1.4,2.07229e+06
1.25253,1.4,1.98475e+06
1.27273,1.4,1.91694e+06
1.29293,1.4,1.85225e+06
1.31313,1.4,1.78948e+06
1.33333,1.4,1.72872e+06
1.35354,1.4,1.67004e+06
1.37374,1.4,1.61355e+06
1.39394,1.4,1.55934e+06
1.41414,1.4,1.50753e+06
1.43434,1.4,1.45824e+06
1.45455,1.4,1.41159e+06
1.47475,1.4,1.36773e+06
1.49495,1.4,1.32679e+06
1.51515,1.4,1.28894e+06
1.53535,1.4,1.25434e+06
1.55556,1.4,1.22315e+06
1.57576,1.4,1.24734e+06
1.59596,1.4,1.21611e+06
1.61616,1.4,1.18252e+06
1.63636,1.4,1.14646e+06
1.65657,1.4,1.10782e+06
1.67677,1.4,1.05069e+06
1.69697,1.4,1.01081e+06
1.71717,1.4,972968
1.73737,1.4,937062
1.75758,1.4,902983
1.77778,1.4,870601
1.79798,1.4,839767
1.81818,1.4,810317
1.83838,1.4,782068
1.85859,1.4,754820
1.87879,1.4,728355
1.89899,1.4,702438
1.91919,1.4,617266
1.93939,1.4,610746
1.9596,1.4,612501
1.9798,1.4,622107
2,1.4,638986
0,1.42,796919
0.020202,1.42,801251
0.040404,1.42,803594
0.0606061,1.42,865921
0.0808081,1.42,872886
0.10101,1.42,881582
0.121212,1.42,892872
0.141414,1.42,907522
0.161616,1.42,926206
0.181818,1.42,949500
0.20202,1.42,977884
0.222222,1.42,1.01175e+06
0.242424,1.42,1.05137e+06
0.262626,1.42,1.09696e+06
0.282828,1.42,1.14861e+06
0.30303,1.42,1.20633e+06
0.323232,1.42,1.27001e+06
0.343434,1.42,1.33948e+06
0.363636,1.42,1.38164e+06
0.383838,1.42,1.43757e+06
0.40404,1.42,1.49177e+06
0.424242,1.42,1.49261e+06
0.444444,1.42,1.48131e+06
0.464646,1.42,1.474e+06
0.484848,1.42,1.47091e+06
0.505051,1.42,1.47227e+06
0.525253,1.42,1.36278e+06
0.545455,1.42,1.39622e+06
0.565657,1.42,1.43083e+06
0.585859,1.42,1.46656e+06
0.606061,1.42,1.50338e+06
0.626263,1.42,1.54124e+06
0.646465,1.42,1.58011e+06
0.666667,1.42,1.61995e+06
0.686869,1.42,1.66073e+06
0.707071,1.42,1.7024e+06
0.727273,1.42,1.74496e+06
0.747475,1.42,1.9392e+06
0.767677,1.42,1.99665e+06
0.787879,1.42,2.05408e+06
0.808081,1.42,2.1112e+06
0.828283,1.42,2.16774e+06
0.848485,1.42,2.27169e+06
0.868687,1.42,2.34238e+06
0.888889,1.42,2.41083e+06
0.909091,1.42,2.47702e+06
0.929293,1.42,2.54097e+06
0.949495,1.42,2.60277e+06
0.969697,1.42,2.66253e+06
0.989899,1.42,2.7204e+06
1.0101,1.42,2.77658e+06
1.0303,1.42,2.83131e+06
1.05051,1.42,2.48964e+06
1.07071,1.42,2.43413e+06
1.09091,1.42,2.38011e+06
1.11111,1.42,2.32787e+06
1.13131,1.42,2.27769e+06
1.15152,1.42,2.22987e+06
1.17172,1.42,2.18472e+06
1.19192,1.42,2.14253e+06
1.21212,1.42,2.10362e+06
1.23232,1.42,2.16213e+06
1.25253,1.42,2.06976e+06
1.27273,1.42,2.00392e+06
1.29293,1.42,1.93404e+06
1.31313,1.42,1.86594e+06
1.33333,1.42,1.79972e+06
1.35354,1.42,1.73545e+06
1.37374,1.42,1.67327e+06
1.39394,1.42,1.61326e+06
1.41414,1.42,1.55556e+06
1.43434,1.42,1.50031e+06
1.45455,1.42,1.44762e+06
1.47475,1.42,1.39766e+06
1.49495,1.42,1.35059e+06
1.51515,1.42,1.30655e+06
1.53535,1.42,1.26574e+06
1.55556,1.42,1.22833e+06
1.57576,1.42,1.25131e+06
1.59596,1.42,1.21861e+06
1.61616,1.42,1.18394e+06
1.63636,1.42,1.14719e+06
1.65657,1.42,1.08084e+06
1.67677,1.42,1.0396e+06
1.69697,1.42,1.00076e+06
1.71717,1.42,964208
1.73737,1.42,929814
1.75758,1.42,897431
1.77778,1.42,866897
1.79798,1.42,838031
1.81818,1.42,810635
1.83838,1.42,784491
1.85859,1.42,759367
1.87879,1.42,735012
1.89899,1.42,711157
1.91919,1.42,687516
1.93939,1.42,655749
1.9596,1.42,650446
1.9798,1.42,653807
2,1.42,665323
0,1.44,826180
0.020202,1.44,825171
