Distance[um],dz[um],Mag_E[V_per_meter]
1.69697,1.42,724374
1.71717,1.42,693039
1.73737,1.42,667205
1.75758,1.42,646279
1.77778,1.42,629654
1.79798,1.42,616718
1.81818,1.42,606847
1.83838,1.42,599408
1.85859,1.42,593760
1.87879,1.42,589253
1.89899,1.42,585226
1.91919,1.42,581010
1.93939,1.42,558255
1.9596,1.42,522047
1.9798,1.42,504280
2,1.42,506275
0,1.44,291112
0.020202,1.44,263481
0.040404,1.44,238697
0.0606061,1.44,273164
0.0808081,1.44,310949
0.10101,1.44,345669
0.121212,1.44,378781
0.141414,1.44,411683
0.161616,1.44,445704
0.181818,1.44,482113
0.20202,1.44,522116
0.222222,1.44,566853
0.242424,1.44,617403
0.262626,1.44,674781
0.282828,1.44,739938
0.30303,1.44,813762
0.323232,1.44,897078
0.343434,1.44,990648
0.363636,1.44,1.09517e+06
0.383838,1.44,1.19931e+06
0.40404,1.44,1.31287e+06
0.424242,1.44,1.34006e+06
0.444444,1.44,1.36824e+06
0.464646,1.44,1.39607e+06
0.484848,1.44,1.46639e+06
0.505051,1.44,1.54702e+06
0.525253,1.44,1.63004e+06
0.545455,1.44,1.71492e+06
0.565657,1.44,1.8012e+06
0.585859,1.44,1.88852e+06
0.606061,1.44,1.9766e+06
0.626263,1.44,2.06524e+06
0.646465,1.44,2.15435e+06
0.666667,1.44,2.24389e+06
0.686869,1.44,2.33394e+06
0.707071,1.44,2.42465e+06
0.727273,1.44,2.51655e+06
0.747475,1.44,2.60265e+06
0.767677,1.44,2.67664e+06
0.787879,1.44,2.73858e+06
0.808081,1.44,2.78859e+06
0.828283,1.44,2.82683e+06
0.848485,1.44,2.85357e+06
0.868687,1.44,2.88598e+06
0.888889,1.44,2.92195e+06
0.909091,1.44,2.95969e+06
0.929293,1.44,2.99788e+06
0.949495,1.44,3.0356e+06
0.969697,1.44,3.07242e+06
0.989899,1.44,3.1083e+06
1.0101,1.44,3.14367e+06
1.0303,1.44,3.12312e+06
1.05051,1.44,3.01934e+06
1.07071,1.44,2.92629e+06
1.09091,1.44,2.84321e+06
1.11111,1.44,2.76943e+06
1.13131,1.44,2.70437e+06
1.15152,1.44,2.6476e+06
1.17172,1.44,2.59874e+06
1.19192,1.44,2.55756e+06
1.21212,1.44,2.52392e+06
1.23232,1.44,2.49777e+06
1.25253,1.44,2.40012e+06
1.27273,1.44,2.28062e+06
1.29293,1.44,2.16474e+06
1.31313,1.44,2.05249e+06
1.33333,1.44,1.94397e+06
1.35354,1.44,1.83931e+06
1.37374,1.44,1.73874e+06
1.39394,1.44,1.64254e+06
1.41414,1.44,1.55105e+06
1.43434,1.44,1.4647e+06
1.45455,1.44,1.38396e+06
1.47475,1.44,1.3094e+06
1.49495,1.44,1.24163e+06
1.51515,1.44,1.18133e+06
1.53535,1.44,1.12927e+06
1.55556,1.44,1.08625e+06
1.57576,1.44,1.04562e+06
1.59596,1.44,989305
1.61616,1.44,941702
1.63636,1.44,891289
1.65657,1.44,836335
1.67677,1.44,788571
1.69697,1.44,747494
1.71717,1.44,712590
1.73737,1.44,683339
1.75758,1.44,659211
1.77778,1.44,639664
1.79798,1.44,624151
1.81818,1.44,612112
1.83838,1.44,602982
1.85859,1.44,596182
1.87879,1.44,591127
1.89899,1.44,587222
1.91919,1.44,583863
1.93939,1.44,580436
1.9596,1.44,552343
1.9798,1.44,520773
2,1.44,510570
0,1.46,279158
0.020202,1.46,253054
0.040404,1.46,268202
0.0606061,1.46,307601
0.0808081,1.46,343981
0.10101,1.46,378700
0.121212,1.46,413058
0.141414,1.46,448286
0.161616,1.46,485555
0.181818,1.46,525971
0.20202,1.46,570578
0.222222,1.46,620356
0.242424,1.46,676221
0.262626,1.46,739027
0.282828,1.46,809563
0.30303,1.46,888556
0.323232,1.46,976669
0.343434,1.46,1.0745e+06
0.363636,1.46,1.18259e+06
0.383838,1.46,1.30185e+06
0.40404,1.46,1.39249e+06
0.424242,1.46,1.4063e+06
0.444444,1.46,1.4656e+06
0.464646,1.46,1.53535e+06
0.484848,1.46,1.60864e+06
0.505051,1.46,1.68476e+06
0.525253,1.46,1.76312e+06
0.545455,1.46,1.84318e+06
0.565657,1.46,1.92453e+06
0.585859,1.46,2.00682e+06
0.606061,1.46,2.08977e+06
0.626263,1.46,2.17323e+06
0.646465,1.46,2.25711e+06
0.666667,1.46,2.34139e+06
0.686869,1.46,2.42617e+06
0.707071,1.46,2.51163e+06
0.727273,1.46,2.599e+06
0.747475,1.46,2.67901e+06
0.767677,1.46,2.74687e+06
0.787879,1.46,2.8026e+06
0.808081,1.46,2.8463e+06
0.828283,1.46,2.87809e+06
0.848485,1.46,2.89814e+06
0.868687,1.46,2.91591e+06
0.888889,1.46,2.9479e+06
0.909091,1.46,2.98281e+06
0.929293,1.46,3.01898e+06
0.949495,1.46,3.0552e+06
0.969697,1.46,3.09071e+06
0.989899,1.46,3.12516e+06
1.0101,1.46,3.15866e+06
1.0303,1.46,3.08263e+06
1.05051,1.46,2.98844e+06
1.07071,1.46,2.90423e+06
1.09091,1.46,2.82929e+06
1.11111,1.46,2.76306e+06
1.13131,1.46,2.70503e+06
1.15152,1.46,2.65484e+06
1.17172,1.46,2.6122e+06
1.19192,1.46,2.57696e+06
1.21212,1.46,2.55137e+06
