dt[um],Distance[um],Mag_E[V_per_meter],Mag_E_1[V_per_meter],Mag_E_2[V_per_meter],Mag_E_3[V_per_meter],Mag_E_4[V_per_meter],Mag_E_5[V_per_meter],Mag_E_6[V_per_meter],Mag_E_7[V_per_meter],Mag_E_8[V_per_meter],Mag_E_9[V_per_meter],Mag_E_10[V_per_meter],Mag_E_11[V_per_meter],Mag_E_12[V_per_meter],Mag_E_13[V_per_meter],Mag_E_14[V_per_meter],Mag_E_15[V_per_meter],Mag_E_16[V_per_meter],Mag_E_18[V_per_meter],Mag_E_19[V_per_meter],Mag_E_20[V_per_meter],Mag_E_21[V_per_meter],Mag_E_22[V_per_meter],Mag_E_23[V_per_meter],Mag_E_24[V_per_meter],Mag_E_25[V_per_meter],Mag_E_26[V_per_meter],Mag_E_27[V_per_meter],Mag_E_28[V_per_meter],Mag_E_29[V_per_meter],Mag_E_30[V_per_meter],Mag_E_31[V_per_meter],Mag_E_32[V_per_meter],Mag_E_33[V_per_meter],Mag_E_34[V_per_meter],Mag_E_35[V_per_meter],Mag_E_36[V_per_meter],Mag_E_37[V_per_meter],Mag_E_38[V_per_meter],Mag_E_39[V_per_meter],Mag_E_40[V_per_meter],Mag_E_41[V_per_meter],Mag_E_42[V_per_meter],Mag_E_43[V_per_meter],Mag_E_44[V_per_meter],Mag_E_45[V_per_meter],Mag_E_46[V_per_meter],Mag_E_47[V_per_meter],Mag_E_48[V_per_meter],Mag_E_49[V_per_meter],Mag_E_50[V_per_meter],Mag_E_51[V_per_meter],Mag_E_52[V_per_meter],Mag_E_53[V_per_meter],Mag_E_54[V_per_meter],Mag_E_55[V_per_meter],Mag_E_56[V_per_meter],Mag_E_57[V_per_meter],Mag_E_58[V_per_meter],Mag_E_59[V_per_meter],Mag_E_60[V_per_meter],Mag_E_61[V_per_meter],Mag_E_62[V_per_meter],Mag_E_63[V_per_meter],Mag_E_64[V_per_meter],Mag_E_65[V_per_meter],Mag_E_66[V_per_meter],Mag_E_67[V_per_meter],Mag_E_68[V_per_meter],Mag_E_69[V_per_meter],Mag_E_70[V_per_meter],Mag_E_71[V_per_meter],Mag_E_72[V_per_meter],Mag_E_73[V_per_meter],Mag_E_74[V_per_meter],Mag_E_75[V_per_meter]
0.5,0.778947,487119,515329,523022,332768,154885,133003,350019,568429,672261,673160,808034,910818,1.0606e+06,1.19286e+06,1.31903e+06,1.40581e+06,1.63254e+06,1.63136e+06,1.69318e+06,1.74596e+06,1.78045e+06,1.84484e+06,2.14955e+06,2.38997e+06,2.37722e+06,2.15414e+06,1.75485e+06,1.28876e+06,842143,901948,727061,676526,835878,908715,861363,950274,1.0934e+06,1.30498e+06,1.41433e+06,1.39716e+06,1.43127e+06,1.54071e+06,1.75555e+06,1.97429e+06,1.46559e+06,871436,712071,484796,337805,293374,308298,320881,329900,362373,388186,286152,250167,194774,187122,171185,138869,113505,144938,186961,267631,727565,1.09528e+06,781255,366720,225554,334322,316583,247823,134959,123932
0.5,0.856842,292428,314287,309563,158948,228371,330372,545139,757886,817762,870267,1.01979e+06,1.14097e+06,1.30954e+06,1.44936e+06,1.58155e+06,1.67086e+06,1.86825e+06,1.88199e+06,1.94151e+06,1.98635e+06,2.00415e+06,2.06417e+06,2.38891e+06,2.67028e+06,2.67327e+06,2.44633e+06,2.02907e+06,1.57422e+06,1.11701e+06,1.09316e+06,971019,912494,1.02673e+06,1.05506e+06,993125,1.06948e+06,1.19611e+06,1.37009e+06,1.42331e+06,1.36201e+06,1.36549e+06,1.46102e+06,1.67327e+06,1.92444e+06,1.50896e+06,961620,798632,529995,376840,393884,392961,331240,313723,321170,323446,215221,263613,221417,238018,263828,242106,248365,321818,427427,527149,792880,1.28376e+06,907449,457921,264151,291391,315734,293264,156967,161724
0.5,0.934737,378732,448914,471076,492410,678826,799800,927077,1.05879e+06,1.0235e+06,1.26025e+06,1.45702e+06,1.59125e+06,1.75533e+06,1.88182e+06,1.99277e+06,2.06884e+06,2.11629e+06,2.17094e+06,2.19404e+06,2.19507e+06,2.17992e+06,2.19767e+06,2.32529e+06,2.45963e+06,2.42212e+06,2.28137e+06,2.02071e+06,1.72222e+06,1.42834e+06,1.32168e+06,1.22113e+06,1.15247e+06,1.18901e+06,1.20885e+06,1.10804e+06,1.12785e+06,1.19186e+06,1.29619e+06,1.25687e+06,1.08852e+06,1.02964e+06,1.07622e+06,1.25568e+06,1.569e+06,1.41688e+06,960533,796393,551540,419925,373198,354999,288663,310552,297939,266720,179432,288354,300366,325772,374081,390752,427261,492750,586525,626270,547492,897983,640353,525651,299077,161599,276253,285096,214488,217351
0.5,1.01263,609502,669466,699963,753938,977551,1.12932e+06,1.28109e+06,1.42623e+06,1.37752e+06,1.59148e+06,1.74331e+06,1.8669e+06,2.0255e+06,2.14641e+06,2.24306e+06,2.30727e+06,2.30467e+06,2.36921e+06,2.3838e+06,2.37726e+06,2.3539e+06,2.35072e+06,2.4288e+06,2.55596e+06,2.53222e+06,2.4018e+06,2.16144e+06,1.91009e+06,1.63863e+06,1.46906e+06,1.36141e+06,1.25111e+06,1.2239e+06,1.20518e+06,1.06821e+06,1.03601e+06,1.04355e+06,1.08784e+06,1.01613e+06,831442,735774,712254,757857,933360,1.10844e+06,918908,781991,506591,342212,356145,360118,272002,300151,284935,301807,255967,366194,388316,408666,454364,479912,526912,575619,645565,654937,466802,737278,614059,550990,315041,201282,318129,342386,314494,330869
0.5,1.09053,918352,980590,1.03158e+06,1.14206e+06,1.39286e+06,1.55779e+06,1.71971e+06,1.86223e+06,1.81481e+06,1.97376e+06,2.06859e+06,2.16609e+06,2.29394e+06,2.38752e+06,2.45432e+06,2.49578e+06,2.43997e+06,2.50427e+06,2.50343e+06,2.48133e+06,2.4432e+06,2.41341e+06,2.42592e+06,2.51258e+06,2.4918e+06,2.37313e+06,2.15395e+06,1.95215e+06,1.73832e+06,1.55684e+06,1.39877e+06,1.24695e+06,1.16301e+06,1.11481e+06,937400,849505,795306,757260,649499,494838,438711,421943,430319,500549,739678,686832,566934,300047,208158,332864,376234,318884,342956,344947,398002,383229,472632,480412,475964,488692,505835,560031,578358,605288,576223,361178,470754,435182,451808,312919,331094,418201,420975,407506,427894
0.5,1.16842,1.38459e+06,1.44125e+06,1.49942e+06,1.59009e+06,1.77306e+06,1.90028e+06,2.04985e+06,2.19594e+06,2.17325e+06,2.28578e+06,2.34067e+06,2.41677e+06,2.51146e+06,2.57239e+06,2.60564e+06,2.62031e+06,2.51426e+06,2.5685e+06,2.54761e+06,2.50492e+06,2.44834e+06,2.3922e+06,2.33976e+06,2.37983e+06,2.35141e+06,2.23376e+06,2.02382e+06,1.86215e+06,1.72471e+06,1.5529e+06,1.32335e+06,1.13364e+06,1.00136e+06,936527,723312,584442,500387,425785,347080,310352,381575,489145,636975,772416,734980,517417,367624,130014,141123,331032,410979,389418,405364,434620,507767,511474,575423,567207,541603,515241,515860,581800,578211,562924,490841,302270,295155,276056,386354,432967,525095,563936,537635,514748,526471
0.5,1.24632,1.80004e+06,1.86367e+06,1.93429e+06,2.0054e+06,2.13858e+06,2.23433e+06,2.37094e+06,2.5166e+06,2.53467e+06,2.56958e+06,2.58071e+06,2.63346e+06,2.68794e+06,2.70859e+06,2.70332e+06,2.68639e+06,2.52989e+06,2.56501e+06,2.51897e+06,2.45016e+06,2.37118e+06,2.28991e+06,2.17575e+06,2.16743e+06,2.12128e+06,1.99439e+06,1.78076e+06,1.64564e+06,1.58909e+06,1.43869e+06,1.12863e+06,907145,736628,681732,441199,272242,233547,307900,429363,548473,720340,935229,1.23322e+06,1.50589e+06,1.17906e+06,633212,435412,267962,268436,403657,492335,489402,482987,530792,606320,625031,674494,653254,615687,555635,544873,634590,634093,606308,534357,472136,459142,440199,547630,683604,727399,714360,664518,626057,624012
0.5,1.32421,1.777e+06,1.85792e+06,1.95526e+06,2.02596e+06,2.16161e+06,2.26791e+06,2.41259e+06,2.56373e+06,2.6604e+06,2.60765e+06,2.59484e+06,2.63785e+06,2.65667e+06,2.63969e+06,2.60157e+06,2.55818e+06,2.36659e+06,2.38e+06,2.3095e+06,2.21367e+06,2.11254e+06,2.01124e+06,1.84113e+06,1.78264e+06,1.7031e+06,1.56092e+06,1.34768e+06,1.23216e+06,1.23679e+06,1.10844e+06,727806,447533,247161,202730,168937,258545,384030,629771,896101,1.02596e+06,1.17428e+06,1.38651e+06,1.72565e+06,2.08767e+06,1.6716e+06,909965,698117,544989,428006,432758,474993,448526,408671,456596,516505,547600,600510,591190,566058,500113,486890,591512,625911,635661,635728,707338,805334,736664,770354,833911,776408,704976,637595,594790,589479
0.5,1.40211,1.6391e+06,1.72216e+06,1.83722e+06,1.88946e+06,1.99568e+06,2.10055e+06,2.2441e+06,2.40109e+06,2.58312e+06,2.49033e+06,2.48754e+06,2.53491e+06,2.52798e+06,2.47792e+06,2.41193e+06,2.34477e+06,2.12762e+06,2.11526e+06,2.02001e+06,1.8962e+06,1.77153e+06,1.65647e+06,1.4671e+06,1.40192e+06,1.28662e+06,1.1123e+06,861330,638196,699050,725316,421422,264915,195004,243654,287879,487933,697175,990173,1.25301e+06,1.31801e+06,1.42271e+06,1.61188e+06,1.93768e+06,2.29022e+06,1.81321e+06,1.0109e+06,827198,657361,499509,445723,425648,354763,294051,313616,324765,355299,420241,434437,438276,402284,410145,516702,587567,647736,708789,809571,1.09327e+06,966194,927536,903024,755006,617463,533423,494034,465356
0.5,1.48,1.54811e+06,1.60776e+06,1.70853e+06,1.7349e+06,1.80606e+06,1.90242e+06,2.03772e+06,2.18952e+06,2.42702e+06,2.31148e+06,2.31571e+06,2.35937e+06,2.33013e+06,2.25226e+06,2.16209e+06,2.07208e+06,1.83469e+06,1.79594e+06,1.67754e+06,1.5274e+06,1.37903e+06,1.26062e+06,1.12172e+06,1.17501e+06,1.0787e+06,890297,629707,303432,102372,336677,391072,472254,593305,629421,697030,855084,1.03901e+06,1.3096e+06,1.52188e+06,1.50406e+06,1.53735e+06,1.65377e+06,1.87966e+06,2.10532e+06,1.63984e+06,1.01677e+06,892491,733553,590654,504749,440743,329193,258002,245669,222700,243005,324420,339300,354027,345940,393144,513594,596963,691775,799272,894034,1.3198e+06,1.20525e+06,1.09317e+06,956385,738162,541893,403266,367158,321409
