Distance[um],dz[um],Mag_Ex_um,Mag_Ex_um
1.35354,1.42,2.15278,1.65752
1.37374,1.42,2.1439,1.57964
1.39394,1.42,2.13884,1.50405
1.41414,1.42,2.13762,1.43104
1.43434,1.42,2.14025,1.36093
1.45455,1.42,2.14672,1.29406
1.47475,1.42,2.157,1.2308
1.49495,1.42,2.17102,1.17153
1.51515,1.42,2.18869,1.11667
1.53535,1.42,2.20991,1.06665
1.55556,1.42,2.23454,1.02196
1.57576,1.42,2.26242,0.983061
1.59596,1.42,2.40081,1.06373
1.61616,1.42,1.84498,0.633127
1.63636,1.42,1.75495,0.766272
1.65657,1.42,1.7548,0.766138
1.67677,1.42,1.75542,0.767235
1.69697,1.42,1.75669,0.769583
1.71717,1.42,1.7585,0.773197
1.73737,1.42,1.76075,0.778083
1.75758,1.42,1.76335,0.784241
1.77778,1.42,1.76622,0.791665
1.79798,1.42,1.76928,0.800342
1.81818,1.42,1.77244,0.810253
1.83838,1.42,1.77566,0.821371
1.85859,1.42,1.77887,0.833664
1.87879,1.42,1.78201,0.847091
1.89899,1.42,1.78504,0.861607
1.91919,1.42,1.78793,0.877159
1.93939,1.42,1.79063,0.893688
1.9596,1.42,1.79313,0.911127
1.9798,1.42,1.79541,0.929403
2,1.42,1.79744,0.948438
0,1.44,3.96209,1.52477
0.020202,1.44,3.8984,1.44399
0.040404,1.44,3.83714,1.36607
0.0606061,1.44,3.77813,1.29217
0.0808081,1.44,3.72113,1.22336
0.10101,1.44,3.6659,1.16065
0.121212,1.44,3.61213,1.10499
0.141414,1.44,3.60752,0.896518
0.161616,1.44,3.46537,0.862066
0.181818,1.44,3.32375,0.831513
0.20202,1.44,3.18258,0.806053
0.222222,1.44,3.04175,0.786638
0.242424,1.44,2.90122,0.773984
0.262626,1.44,2.76093,0.768568
0.282828,1.44,2.62083,0.770628
0.30303,1.44,2.48091,0.780167
0.323232,1.44,2.34116,0.796947
0.343434,1.44,2.20158,0.820492
0.363636,1.44,2.06218,0.85009
0.383838,1.44,1.92301,0.88479
0.40404,1.44,1.78412,0.923401
0.424242,1.44,1.73336,1.74885
0.444444,1.44,1.67355,1.72833
0.464646,1.44,1.62969,1.7104
0.484848,1.44,1.5986,1.69522
0.505051,1.44,1.38357,1.62315
0.525253,1.44,1.37511,1.67007
0.545455,1.44,1.37172,1.71743
0.565657,1.44,1.3734,1.76519
0.585859,1.44,1.38008,1.81332
0.606061,1.44,1.3917,1.86178
0.626263,1.44,1.40811,1.91054
0.646465,1.44,1.42918,1.9596
0.666667,1.44,1.4547,2.00892
0.686869,1.44,1.48446,2.05851
0.707071,1.44,1.5182,2.10835
0.727273,1.44,1.55561,2.15845
0.747475,1.44,2.40982,2.66246
0.767677,1.44,2.42635,2.66604
0.787879,1.44,2.44304,2.672
0.808081,1.44,2.45995,2.68033
0.828283,1.44,2.47706,2.69098
0.848485,1.44,2.49423,2.70389
0.868687,1.44,2.51124,2.719
0.888889,1.44,1.37315,1.30705
0.909091,1.44,1.39018,1.29007
0.929293,1.44,1.56935,1.38763
0.949495,1.44,1.56202,1.37019
0.969697,1.44,1.55527,1.35275
0.989899,1.44,1.54911,1.33531
1.0101,1.44,1.54354,1.31787
1.0303,1.44,1.53858,1.30043
1.05051,1.44,1.53422,1.28299
1.07071,1.44,1.53048,1.26555
1.09091,1.44,1.52736,1.24811
1.11111,1.44,2.56159,3.02436
1.13131,1.44,2.51966,2.948
1.15152,1.44,2.4777,2.87401
1.17172,1.44,2.43578,2.8023
1.19192,1.44,2.39391,2.73279
1.21212,1.44,2.35215,2.66542
1.23232,1.44,2.31052,2.60018
1.25253,1.44,2.37326,2.32333
1.27273,1.44,2.33915,2.23595
1.29293,1.44,2.30846,2.14962
1.31313,1.44,2.28138,2.06446
1.33333,1.44,2.25806,1.9806
1.35354,1.44,2.23866,1.89822
1.37374,1.44,2.22329,1.81751
1.39394,1.44,2.21204,1.73869
1.41414,1.44,2.20498,1.66199
1.43434,1.44,2.20216,1.58768
1.45455,1.44,2.2036,1.51606
1.47475,1.44,2.20929,1.44744
1.49495,1.44,2.21921,1.38217
1.51515,1.44,2.23331,1.3206
1.53535,1.44,2.28832,1.31583
1.55556,1.44,2.30323,1.25992
1.57576,1.44,2.32621,1.21383
1.59596,1.44,2.64908,1.12261
1.61616,1.44,1.82308,0.563531
1.63636,1.44,1.88103,0.572995
1.65657,1.44,1.93893,0.583775
1.67677,1.44,1.84636,0.727193
1.69697,1.44,1.84767,0.728895
1.71717,1.44,1.84985,0.732123
1.73737,1.44,1.85278,0.736879
1.75758,1.44,1.85633,0.743162
1.77778,1.44,1.8604,0.750961
1.79798,1.44,1.86488,0.760262
1.81818,1.44,1.86967,0.77104
1.83838,1.44,1.87468,0.783268
1.85859,1.44,1.87983,0.79691
1.87879,1.44,1.88503,0.811922
1.89899,1.44,1.89021,0.828256
1.91919,1.44,1.89532,0.845855
1.93939,1.44,1.90029,0.864658
1.9596,1.44,1.90507,0.884596
1.9798,1.44,1.90961,0.905592
2,1.44,1.91388,0.927565
0,1.46,4.20647,1.48138
0.020202,1.46,4.15081,1.39945
0.040404,1.46,4.09763,1.3212
0.0606061,1.46,4.19723,1.03986
0.0808081,1.46,4.0506,0.991424
0.10101,1.46,3.90466,0.942837
0.121212,1.46,3.75929,0.896012
0.141414,1.46,3.61438,0.852627
0.161616,1.46,3.46984,0.814121
0.181818,1.46,3.32559,0.781695
0.20202,1.46,3.18158,0.756313
0.222222,1.46,3.03774,0.738699
0.242424,1.46,2.89405,0.72934
0.262626,1.46,2.75049,0.728486
0.282828,1.46,2.60706,0.736147
0.30303,1.46,2.46375,0.752096
0.323232,1.46,2.32061,0.775867
0.343434,1.46,2.17765,0.806756
0.363636,1.46,2.03495,0.843822
0.383838,1.46,1.89256,0.885885
0.40404,1.46,1.75056,0.931528
0.424242,1.46,1.64097,1.74283
0.444444,1.46,1.58495,1.72348
0.464646,1.46,1.54648,1.70681
0.484848,1.46,1.52254,1.69296
0.505051,1.46,1.51025,1.68205
0.525253,1.46,1.36082,1.63651
0.545455,1.46,1.36527,1.68323
0.565657,1.46,1.37502,1.73018
0.585859,1.46,1.38997,1.77735
0.606061,1.46,1.40996,1.82472
0.626263,1.46,1.43483,1.87227
0.646465,1.46,1.46435,1.92
0.666667,1.46,1.49827,1.96789
0.686869,1.46,1.53631,2.01597
0.707071,1.46,1.57814,2.06422
0.727273,1.46,1.62342,2.11267
0.747475,1.46,2.56982,2.69037
0.767677,1.46,2.58574,2.69558
0.787879,1.46,2.60229,2.70323
0.808081,1.46,2.61939,2.71327
0.828283,1.46,2.63685,2.72563
0.848485,1.46,2.65438,2.74023
0.868687,1.46,2.67162,2.75698
0.888889,1.46,2.68806,2.77577
0.909091,1.46,1.63837,1.38819
0.929293,1.46,1.62734,1.3707
0.949495,1.46,1.61684,1.35321
0.969697,1.46,1.60687,1.33572
0.989899,1.46,1.59745,1.31824
1.0101,1.46,1.62907,1.37982
1.0303,1.46,1.65606,1.38749
1.05051,1.46,1.68309,1.39628
1.07071,1.46,1.71014,1.40617
1.09091,1.46,1.73719,1.41712
1.11111,1.46,2.83507,3.15057
1.13131,1.46,2.62134,3.02659
1.15152,1.46,2.57891,2.96432
1.17172,1.46,2.53643,2.9048
1.19192,1.46,2.49396,2.84789
1.21212,1.46,2.45153,2.79349
1.23232,1.46,2.4092,2.7415
1.25253,1.46,2.48877,2.55615
1.27273,1.46,2.4467,2.46828
1.29293,1.46,2.40817,2.38137
1.31313,1.46,2.3734,2.29551
1.33333,1.46,2.34259,2.21077
1.35354,1.46,2.31593,2.12729
1.37374,1.46,2.29355,2.04519
1.39394,1.46,2.2756,1.96466
1.41414,1.46,2.26216,1.88589
1.43434,1.46,2.25333,1.80908
1.45455,1.46,2.24916,1.7345
1.47475,1.46,2.24967,1.66239
1.49495,1.46,2.23216,1.60221
1.51515,1.46,2.2294,1.52589
1.53535,1.46,2.23505,1.45615
1.55556,1.46,2.24942,1.39401
1.57576,1.46,2.46708,1.20633
1.59596,1.46,2.54502,1.20719
1.61616,1.46,2.61942,1.21176
1.63636,1.46,1.8492,0.527062
1.65657,1.46,1.9084,0.532723
1.67677,1.46,1.96755,0.54014
1.69697,1.46,2.02666,0.549487
1.71717,1.46,2.08576,0.560772
1.73737,1.46,1.93667,0.694806
1.75758,1.46,1.94023,0.700584
1.77778,1.46,1.94465,0.708168
1.79798,1.46,1.9498,0.717538
1.81818,1.46,1.95556,0.728668
1.83838,1.46,1.96181,0.741527
1.85859,1.46,1.96844,0.756075
1.87879,1.46,1.97534,0.772267
1.89899,1.46,1.98243,0.790052
1.91919,1.46,1.98959,0.809369
1.93939,1.46,1.99676,0.830154
1.9596,1.46,2.00386,0.852335
1.9798,1.46,2.01081,0.875833
2,1.46,2.01754,0.900563
0,1.48,5.10836,0.618583
0.020202,1.48,4.50159,1.14186
0.040404,1.48,4.35179,1.08187
0.0606061,1.48,4.20259,1.02056
0.0808081,1.48,4.05388,0.960087
0.10101,1.48,3.90555,0.902373
0.121212,1.48,3.75753,0.849106
0.141414,1.48,3.60973,0.801738
0.161616,1.48,3.4621,0.761477
0.181818,1.48,3.31459,0.729298
0.20202,1.48,3.16717,0.705935
0.222222,1.48,3.01983,0.691884
0.242424,1.48,2.87258,0.687404
0.262626,1.48,2.72541,0.692516
0.282828,1.48,2.57836,0.707002
0.30303,1.48,2.43147,0.730405
0.323232,1.48,2.2848,0.762033
0.343434,1.48,2.13842,0.800953
0.363636,1.48,1.99242,0.845995
0.383838,1.48,1.8469,0.895751
0.40404,1.48,1.70196,0.948575
0.424242,1.48,1.54429,1.73504
0.444444,1.48,1.49477,1.71677
0.464646,1.48,1.46393,1.70128
0.484848,1.48,1.4489,1.68868
0.505051,1.48,1.44696,1.67908
0.525253,1.48,1.45553,1.67257
0.545455,1.48,1.36486,1.65298
0.565657,1.48,1.38316,1.69869
0.585859,1.48,1.40675,1.74449
0.606061,1.48,1.43544,1.79037
0.626263,1.48,1.46897,1.83633
0.646465,1.48,1.50707,1.88238
0.666667,1.48,1.54944,1.92853
0.686869,1.48,1.59572,1.97478
0.707071,1.48,1.64553,2.02115
0.727273,1.48,1.69846,2.06768
0.747475,1.48,2.73419,2.72648
0.767677,1.48,2.75006,2.73352
0.787879,1.48,2.76689,2.74303
0.808081,1.48,2.78442,2.75495
0.828283,1.48,2.80232,2.76919
0.848485,1.48,2.82015,2.78566
0.868687,1.48,2.83737,2.80423
0.888889,1.48,2.85334,2.82477
0.909091,1.48,1.83432,1.4189
0.929293,1.48,1.85731,1.43455
0.949495,1.48,1.88046,1.45113
0.969697,1.48,1.90375,1.4686
0.989899,1.48,1.92717,1.48693
1.0101,1.48,1.95071,1.50608
1.0303,1.48,1.97436,1.52603
1.05051,1.48,1.9981,1.54675
1.07071,1.48,2.02193,1.5682
1.09091,1.48,2.46745,2.42145
1.11111,1.48,2.93193,3.19756
1.13131,1.48,2.88235,3.18716
1.15152,1.48,2.68532,3.05155
1.17172,1.48,2.64218,3.00263
1.19192,1.48,2.59897,2.95684
1.21212,1.48,2.55575,2.914
1.23232,1.48,2.51256,2.87395
1.25253,1.48,2.59875,2.76978
1.27273,1.48,2.5483,2.68213
1.29293,1.48,2.50149,2.59546
1.31313,1.48,2.45859,2.50978
1.33333,1.48,2.41982,2.42513
1.35354,1.48,2.38541,2.3416
1.37374,1.48,2.35553,2.25926
1.39394,1.48,2.33034,2.17825
1.41414,1.48,2.31,2.0987
1.43434,1.48,2.24779,2.00878
1.45455,1.48,2.21639,1.91693
1.47475,1.48,2.19299,1.82855
1.49495,1.48,2.17796,1.74432
1.51515,1.48,2.17172,1.665
1.53535,1.48,2.17463,1.59144
1.55556,1.48,2.18711,1.52458
1.57576,1.48,2.35589,1.28894
1.59596,1.48,2.43192,1.28691
1.61616,1.48,2.50492,1.28859
1.63636,1.48,1.80613,0.505963
1.65657,1.48,1.86662,0.505696
1.67677,1.48,1.92709,0.507302
1.69697,1.48,1.98754,0.511162
1.71717,1.48,2.04796,0.517487
1.73737,1.48,2.10837,0.526316
1.75758,1.48,2.16878,0.537519
1.77778,1.48,2.22922,0.550791
1.79798,1.48,2.02667,0.672727
1.81818,1.48,2.03244,0.683647
1.83838,1.48,2.03907,0.696612
1.85859,1.48,2.04643,0.711581
1.87879,1.48,2.05437,0.728504
1.89899,1.48,2.06279,0.747326
1.91919,1.48,2.07155,0.767986
1.93939,1.48,2.08056,0.790416
1.9596,1.48,2.0897,0.81454
1.9798,1.48,2.09888,0.840276
2,1.48,2.10802,0.867538
0,1.5,4.85966,0.579331
0.020202,1.5,4.76301,0.584406
0.040404,1.5,4.4682,0.968896
0.0606061,1.5,4.19764,0.985293
0.0808081,1.5,4.04599,0.915651
