Distance[um],dz[um],Mag_Ey_um,Mag_Ey_um
1.35354,1.42,1.1282,0.92952
1.37374,1.42,1.21272,0.901096
1.39394,1.42,1.29255,0.894713
1.41414,1.42,1.36707,0.911402
1.43434,1.42,1.436,0.951742
1.45455,1.42,1.49941,1.01587
1.47475,1.42,1.5577,1.10346
1.49495,1.42,1.61162,1.21375
1.51515,1.42,1.66225,1.34554
1.53535,1.42,1.71104,1.49715
1.55556,1.42,1.75975,1.66647
1.57576,1.42,1.81051,1.85095
1.59596,1.42,2.22987,2.04252
1.61616,1.42,1.79972,1.67108
1.63636,1.42,1.47021,1.29971
1.65657,1.42,1.4403,1.28978
1.67677,1.42,1.40459,1.27265
1.69697,1.42,1.36303,1.2483
1.71717,1.42,1.31554,1.21668
1.73737,1.42,1.26207,1.17778
1.75758,1.42,1.20257,1.13155
1.77778,1.42,1.13697,1.07799
1.79798,1.42,1.06524,1.01707
1.81818,1.42,0.987315,0.94876
1.83838,1.42,0.903149,0.873058
1.85859,1.42,0.812696,0.789944
1.87879,1.42,0.715911,0.699408
1.89899,1.42,0.612753,0.601441
1.91919,1.42,0.50318,0.496036
1.93939,1.42,0.387154,0.383189
1.9596,1.42,0.264638,0.2629
1.9798,1.42,0.135598,0.135169
2,1.42,0,0
0,1.44,0,0
0.020202,1.44,0.153473,0.147171
0.040404,1.44,0.297717,0.284195
0.0606061,1.44,0.432778,0.411072
0.0808081,1.44,0.558715,0.527804
0.10101,1.44,0.6756,0.634389
0.121212,1.44,0.783516,0.730827
0.141414,1.44,1.46999,1.52298
0.161616,1.44,1.50209,1.53466
0.181818,1.44,1.53858,1.5412
0.20202,1.44,1.57721,1.54211
0.222222,1.44,1.61603,1.53696
0.242424,1.44,1.65331,1.52545
0.262626,1.44,1.68764,1.50731
0.282828,1.44,1.71784,1.48239
0.30303,1.44,1.74299,1.45061
0.323232,1.44,1.76248,1.41199
0.343434,1.44,1.77592,1.36661
0.363636,1.44,1.78322,1.31465
0.383838,1.44,1.78453,1.25638
0.40404,1.44,1.7803,1.19213
0.424242,1.44,1.70824,1.06964
0.444444,1.44,1.60534,0.893971
0.464646,1.44,1.51843,0.743042
0.484848,1.44,1.44363,0.617031
0.505051,1.44,1.46858,0.718103
0.525253,1.44,1.39687,0.646616
0.545455,1.44,1.32371,0.605577
0.565657,1.44,1.24909,0.596735
0.585859,1.44,1.17315,0.619814
0.606061,1.44,1.09612,0.672507
0.626263,1.44,1.01841,0.750483
0.646465,1.44,0.940506,0.84738
0.666667,1.44,0.863056,0.95481
0.686869,1.44,0.786823,1.06236
0.707071,1.44,0.7127,1.15758
0.727273,1.44,0.641708,1.226
0.747475,1.44,0.573404,1.25419
0.767677,1.44,0.567346,1.34806
0.787879,1.44,0.608373,1.44869
0.808081,1.44,0.686204,1.55336
0.828283,1.44,0.791815,1.65999
0.848485,1.44,0.917438,1.7671
0.868687,1.44,1.05656,1.87381
0.888889,1.44,0.233268,0.602011
0.909091,1.44,0.209741,0.524886
0.929293,1.44,0.229054,0.373221
0.949495,1.44,0.19981,0.286951
0.969697,1.44,0.171096,0.207131
0.989899,1.44,0.142264,0.156539
1.0101,1.44,0.114115,0.147596
1.0303,1.44,0.0888922,0.182358
1.05051,1.44,0.0702895,0.252527
1.07071,1.44,0.0634451,0.33944
1.09091,1.44,0.0749443,0.41408
1.11111,1.44,0.929544,2.00309
1.13131,1.44,0.809262,1.92451
1.15152,1.44,0.706546,1.84206
1.17172,1.44,0.627919,1.75539
1.19192,1.44,0.578443,1.66463
1.21212,1.44,0.561714,1.57033
1.23232,1.44,0.579868,1.47347
1.25253,1.44,0.643533,1.40562
1.27273,1.44,0.72707,1.30861
1.29293,1.44,0.813834,1.21525
1.31313,1.44,0.901436,1.12948
1.33333,1.44,0.987826,1.0548
1.35354,1.44,1.0713,0.99423
1.37374,1.44,1.1505,0.950372
1.39394,1.44,1.2244,0.925363
1.41414,1.44,1.29233,0.920895
1.43434,1.44,1.35395,0.938212
1.45455,1.44,1.40927,0.978107
1.47475,1.44,1.45866,1.04093
1.49495,1.44,1.50279,1.12657
1.51515,1.44,1.54272,1.23448
1.53535,1.44,1.88229,1.38804
1.55556,1.44,1.96161,1.54235
1.57576,1.44,2.04358,1.72066
1.59596,1.44,1.91424,1.83282
1.61616,1.44,1.75861,1.61462
1.63636,1.44,1.73726,1.64148
1.65657,1.44,1.71368,1.66421
1.67677,1.44,1.37658,1.21875
1.69697,1.44,1.3354,1.1978
1.71717,1.44,1.28853,1.16958
1.73737,1.44,1.23589,1.13407
1.75758,1.44,1.17743,1.09124
1.77778,1.44,1.11307,1.04106
1.79798,1.44,1.04276,0.983517
1.81818,1.44,0.966442,0.918586
1.83838,1.44,0.88405,0.846254
1.85859,1.44,0.79553,0.766506
1.87879,1.44,0.700828,0.679331
1.89899,1.44,0.599891,0.58472
1.91919,1.44,0.49267,0.482668
1.93939,1.44,0.379116,0.373169
1.9596,1.44,0.259182,0.256224
1.9798,1.44,0.132825,0.131833
2,1.44,0,0
0,1.46,0,0
0.020202,1.46,0.150366,0.142873
0.040404,1.46,0.29161,0.275601
0.0606061,1.46,1.34019,1.3405
0.0808081,1.46,1.33614,1.37179
0.10101,1.46,1.34663,1.40023
0.121212,1.46,1.36845,1.42505
0.141414,1.46,1.39865,1.44554
0.161616,1.46,1.43453,1.46109
0.181818,1.46,1.47368,1.47116
0.20202,1.46,1.51394,1.4753
0.222222,1.46,1.55343,1.47315
0.242424,1.46,1.59052,1.46443
0.262626,1.46,1.62387,1.44894
0.282828,1.46,1.65239,1.42656
0.30303,1.46,1.67526,1.39728
