Distance[um],dz[um],Mag_Ez_um,Mag_Ez_um_1
0.909091,1.42,0.79991,0.852062
0.929293,1.42,0.278752,0.275196
0.949495,1.42,0.225697,0.40413
0.969697,1.42,0.219723,0.570432
0.989899,1.42,0.251304,0.753282
1.0101,1.42,0.312509,0.939316
1.0303,1.42,0.397,1.12263
1.05051,1.42,0.500033,1.30476
1.07071,1.42,0.618459,1.49471
1.09091,1.42,0.708882,1.63539
1.11111,1.42,0.812921,1.78093
1.13131,1.42,0.329179,0.962407
1.15152,1.42,0.324142,0.87253
1.17172,1.42,0.352995,0.786779
1.19192,1.42,0.391003,0.707817
1.21212,1.42,0.438926,0.639183
1.23232,1.42,0.523026,0.585296
1.25253,1.42,0.558648,0.537739
1.27273,1.42,0.540102,0.502769
1.29293,1.42,0.522713,0.464358
1.31313,1.42,0.508762,0.423124
1.33333,1.42,0.5,0.379958
1.35354,1.42,0.497647,0.336031
1.37374,1.42,0.502394,0.292786
1.39394,1.42,0.514401,0.251946
1.41414,1.42,0.533298,0.215507
1.43434,1.42,0.558186,0.18574
1.45455,1.42,0.587634,0.165195
1.47475,1.42,0.619682,0.156697
1.49495,1.42,0.65184,0.163345
1.51515,1.42,0.681088,0.188515
1.53535,1.42,0.703876,0.235859
1.55556,1.42,0.716122,0.309307
1.57576,1.42,0.713216,0.41306
1.59596,1.42,1.11909,0.629375
1.61616,1.42,0.752025,0.27432
1.63636,1.42,0.774304,0.196346
1.65657,1.42,0.674468,0.232551
1.67677,1.42,0.578127,0.266067
1.69697,1.42,0.486782,0.297381
1.71717,1.42,0.401997,0.326921
1.73737,1.42,0.325392,0.355063
1.75758,1.42,0.258651,0.382123
1.77778,1.42,0.203515,0.408362
1.79798,1.42,0.161787,0.433985
1.81818,1.42,0.13533,0.459141
1.83838,1.42,0.126066,0.483921
1.85859,1.42,0.135978,0.508361
1.87879,1.42,0.167108,0.532441
1.89899,1.42,0.221561,0.556085
1.91919,1.42,0.301498,0.579158
1.93939,1.42,0.409143,0.601473
1.9596,1.42,0.54678,0.622783
1.9798,1.42,0.716752,0.642787
2,1.42,0.921462,0.661125
0,1.44,0.938613,0.730216
0.020202,1.44,1.04516,0.729903
0.040404,1.44,1.14918,0.731936
0.0606061,1.44,1.24962,0.735964
0.0808081,1.44,1.34552,0.741666
0.10101,1.44,1.43604,0.748752
0.121212,1.44,1.52043,0.756962
0.141414,1.44,1.44944,0.700678
0.161616,1.44,1.51486,0.703115
0.181818,1.44,1.57783,0.714533
0.20202,1.44,1.63765,0.732465
0.222222,1.44,1.69371,0.754748
0.242424,1.44,1.7455,0.779528
0.262626,1.44,1.7926,0.805259
0.282828,1.44,1.83469,0.830702
0.30303,1.44,1.87154,0.854927
0.323232,1.44,1.90301,0.877311
0.343434,1.44,1.92907,0.89754
0.363636,1.44,1.94976,0.915605
0.383838,1.44,1.96525,0.931809
0.40404,1.44,1.97577,0.946759
0.424242,1.44,1.80294,1.04063
0.444444,1.44,1.67974,0.994034
0.464646,1.44,1.56762,0.952296
0.484848,1.44,1.46445,0.914418
0.505051,1.44,1.28819,0.776151
0.525253,1.44,1.22694,0.73705
0.545455,1.44,1.16847,0.702009
0.565657,1.44,1.11262,0.67073
0.585859,1.44,1.05922,0.64294
0.606061,1.44,1.00809,0.61839
0.626263,1.44,0.959059,0.596861
0.646465,1.44,0.911925,0.578159
0.666667,1.44,0.866492,0.562116
0.686869,1.44,0.822551,0.54859
0.707071,1.44,0.779889,0.537467
0.727273,1.44,0.738281,0.528657
0.747475,1.44,0.622238,0.539253
0.767677,1.44,0.60929,0.558782
0.787879,1.44,0.614877,0.579764
0.808081,1.44,0.625157,0.608964
0.828283,1.44,0.635206,0.648271
0.848485,1.44,0.649024,0.694703
0.868687,1.44,0.679531,0.740404
0.888889,1.44,0.912493,1.03963
0.909091,1.44,0.837266,0.951177
0.929293,1.44,0.188777,0.249763
0.949495,1.44,0.175801,0.387743
0.969697,1.44,0.199752,0.567011
0.989899,1.44,0.252076,0.76443
1.0101,1.44,0.32581,0.964318
1.0303,1.44,0.415588,1.15845
1.05051,1.44,0.517636,1.34605
1.07071,1.44,0.629777,1.53381
1.09091,1.44,0.751423,1.73587
1.11111,1.44,0.260158,0.940731
1.13131,1.44,0.198901,0.853908
1.15152,1.44,0.213712,0.768693
1.17172,1.44,0.255792,0.688208
1.19192,1.44,0.301841,0.61645
1.21212,1.44,0.354059,0.558298
1.23232,1.44,0.440144,0.519507
1.25253,1.44,0.59396,0.519133
1.27273,1.44,0.590023,0.489934
1.29293,1.44,0.588134,0.458465
1.31313,1.44,0.589877,0.424447
1.33333,1.44,0.596307,0.387878
1.35354,1.44,0.607948,0.349029
1.37374,1.44,0.624794,0.308452
1.39394,1.44,0.646311,0.26697
1.41414,1.44,0.67143,0.225685
1.43434,1.44,0.698558,0.185973
1.45455,1.44,0.725567,0.149487
1.47475,1.44,0.749801,0.118156
1.49495,1.44,0.768073,0.0941847
1.51515,1.44,0.776668,0.0800528
1.53535,1.44,0.843212,0.581517
1.55556,1.44,0.935094,0.584796
1.57576,1.44,1.03142,0.58842
1.59596,1.44,1.00632,0.729416
1.61616,1.44,0.932657,0.176532
1.63636,1.44,0.929367,0.193985
1.65657,1.44,0.926406,0.216299
